Date,Price,Open,High,Low,Change %
12/27/1979,0.4466,0.4466,0.4466,0.4466,-0.0139
12/28/1979,0.4487,0.4487,0.4487,0.4487,0.0047
12/31/1979,0.4494,0.4494,0.4494,0.4494,0.0016
1/2/1980,0.4478,0.4478,0.4478,0.4478,-0.0036
1/3/1980,0.4457,0.4457,0.4457,0.4457,-0.0047
1/4/1980,0.447,0.447,0.447,0.447,0.0029
1/7/1980,0.4423,0.4423,0.4423,0.4423,-0.0105
1/8/1980,0.4429,0.4429,0.4429,0.4429,0.0014
1/9/1980,0.4409,0.4409,0.4409,0.4409,-0.0045
1/10/1980,0.4428,0.4428,0.4428,0.4428,0.0043
1/11/1980,0.443,0.443,0.443,0.443,0.0005
1/14/1980,0.4405,0.4405,0.4405,0.4405,-0.0056
1/15/1980,0.4386,0.4386,0.4386,0.4386,-0.0043
1/16/1980,0.4391,0.4391,0.4391,0.4391,0.0011
1/17/1980,0.4402,0.4402,0.4402,0.4402,0.0025
1/18/1980,0.4383,0.4383,0.4383,0.4383,-0.0043
1/21/1980,0.437,0.437,0.437,0.437,-0.003
1/22/1980,0.4393,0.4393,0.4393,0.4393,0.0053
1/23/1980,0.4389,0.4389,0.4389,0.4389,-0.0009
1/24/1980,0.438,0.438,0.438,0.438,-0.0021
1/25/1980,0.4396,0.4396,0.4396,0.4396,0.0037
1/28/1980,0.4421,0.4421,0.4421,0.4421,0.0057
1/29/1980,0.4433,0.4433,0.4433,0.4433,0.0027
1/30/1980,0.4414,0.4414,0.4414,0.4414,-0.0043
1/31/1980,0.4411,0.4411,0.4411,0.4411,-0.0007
2/1/1980,0.4391,0.4391,0.4391,0.4391,-0.0045
2/4/1980,0.4389,0.4389,0.4389,0.4389,-0.0005
2/5/1980,0.4369,0.4369,0.4369,0.4369,-0.0046
2/6/1980,0.4333,0.4333,0.4333,0.4333,-0.0082
2/7/1980,0.4344,0.4344,0.4344,0.4344,0.0025
2/8/1980,0.4352,0.4352,0.4352,0.4352,0.0018
2/11/1980,0.4339,0.4339,0.4339,0.4339,-0.003
2/12/1980,0.4349,0.4349,0.4349,0.4349,0.0023
2/13/1980,0.4336,0.4336,0.4336,0.4336,-0.003
2/14/1980,0.4323,0.4323,0.4323,0.4323,-0.003
2/15/1980,0.4346,0.4346,0.4346,0.4346,0.0053
2/18/1980,0.4357,0.4357,0.4357,0.4357,0.0025
2/19/1980,0.4404,0.4404,0.4404,0.4404,0.0108
2/20/1980,0.439,0.439,0.439,0.439,-0.0032
2/21/1980,0.4371,0.4371,0.4371,0.4371,-0.0043
2/22/1980,0.4392,0.4392,0.4392,0.4392,0.0048
2/25/1980,0.4394,0.4394,0.4394,0.4394,0.0005
2/26/1980,0.4389,0.4389,0.4389,0.4389,-0.0011
2/27/1980,0.4373,0.4373,0.4373,0.4373,-0.0036
2/28/1980,0.4375,0.4375,0.4375,0.4375,0.0005
2/29/1980,0.4397,0.4397,0.4397,0.4397,0.005
3/3/1980,0.4439,0.4439,0.4439,0.4439,0.0096
3/4/1980,0.4493,0.4493,0.4493,0.4493,0.0122
3/5/1980,0.4455,0.4455,0.4455,0.4455,-0.0085
3/6/1980,0.449,0.449,0.449,0.449,0.0079
3/7/1980,0.4499,0.4499,0.4499,0.4499,0.002
3/10/1980,0.4506,0.4506,0.4506,0.4506,0.0016
3/11/1980,0.4492,0.4492,0.4492,0.4492,-0.0031
3/12/1980,0.4473,0.4473,0.4473,0.4473,-0.0042
3/13/1980,0.4502,0.4502,0.4502,0.4502,0.0065
3/14/1980,0.4521,0.4521,0.4521,0.4521,0.0042
3/17/1980,0.4574,0.4574,0.4574,0.4574,0.0117
3/18/1980,0.4557,0.4557,0.4557,0.4557,-0.0037
3/19/1980,0.4564,0.4564,0.4564,0.4564,0.0015
3/20/1980,0.455,0.455,0.455,0.455,-0.0031
3/21/1980,0.4584,0.4584,0.4584,0.4584,0.0075
3/24/1980,0.4584,0.4584,0.4584,0.4584,0
3/25/1980,0.4559,0.4559,0.4559,0.4559,-0.0055
3/26/1980,0.4541,0.4541,0.4541,0.4541,-0.0039
3/27/1980,0.4591,0.4591,0.4591,0.4591,0.011
3/28/1980,0.4598,0.4598,0.4598,0.4598,0.0015
3/31/1980,0.4621,0.4621,0.4621,0.4621,0.005
4/1/1980,0.4673,0.4673,0.4673,0.4673,0.0113
4/2/1980,0.4635,0.4635,0.4635,0.4635,-0.0081
4/3/1980,0.4674,0.4674,0.4674,0.4674,0.0084
4/8/1980,0.4634,0.4634,0.4634,0.4634,-0.0086
4/9/1980,0.4596,0.4596,0.4596,0.4596,-0.0082
4/10/1980,0.4578,0.4578,0.4578,0.4578,-0.0039
4/11/1980,0.4554,0.4554,0.4554,0.4554,-0.0052
4/14/1980,0.4503,0.4503,0.4503,0.4503,-0.0112
4/15/1980,0.4565,0.4565,0.4565,0.4565,0.0138
4/16/1980,0.4515,0.4515,0.4515,0.4515,-0.011
4/17/1980,0.4486,0.4486,0.4486,0.4486,-0.0064
4/18/1980,0.4487,0.4487,0.4487,0.4487,0.0002
4/21/1980,0.448,0.448,0.448,0.448,-0.0016
4/22/1980,0.4469,0.4469,0.4469,0.4469,-0.0025
4/23/1980,0.4428,0.4428,0.4428,0.4428,-0.0092
4/24/1980,0.4411,0.4411,0.4411,0.4411,-0.0038
4/25/1980,0.439,0.439,0.439,0.439,-0.0048
4/28/1980,0.4373,0.4373,0.4373,0.4373,-0.0039
4/29/1980,0.4399,0.4399,0.4399,0.4399,0.0059
4/30/1980,0.4435,0.4435,0.4435,0.4435,0.0082
5/1/1980,0.4421,0.4421,0.4421,0.4421,-0.0032
