Date,price,Open,High,Low,Change %
2019-06-07,15.017,14.873,15.153,14.859,0.0097
2019-06-06,14.873,14.809,15.002,14.75,0.0043
2019-06-05,14.81,14.822,15.046,14.771,-0.0007
2019-06-04,14.82,14.778,14.861,14.668,0.0028
2019-06-03,14.779,14.627,14.835,14.584,0.0104
2019-06-02,14.627,14.597,14.628,14.588,0.0033
2019-05-31,14.579,14.532,14.686,14.485,0.0032
2019-05-30,14.533,14.416,14.576,14.37,0.008
2019-05-29,14.417,14.364,14.483,14.354,0.0036
2019-05-28,14.366,14.595,14.608,14.3,-0.0156
2019-05-27,14.594,14.575,14.63,14.559,0.0013
2019-05-26,14.575,14.573,14.583,14.567,0.0006
2019-05-24,14.566,14.604,14.614,14.537,-0.0027
2019-05-23,14.605,14.453,14.648,14.422,0.0104
2019-05-22,14.454,14.459,14.499,14.402,-0.0003
2019-05-21,14.459,14.473,14.476,14.381,-0.0009
2019-05-20,14.472,14.444,14.482,14.388,0.0017
2019-05-19,14.447,14.415,14.447,14.412,0.0025
2019-05-17,14.411,14.543,14.552,14.4,-0.0091
2019-05-16,14.543,14.79,14.822,14.527,-0.0167
2019-05-15,14.79,14.802,14.854,14.765,-0.0007
2019-05-14,14.801,14.793,14.857,14.742,0.0005
2019-05-13,14.793,14.756,14.81,14.62,0.0024
2019-05-12,14.758,14.787,14.791,14.755,-0.0016
2019-05-10,14.781,14.771,14.847,14.739,0.0007
2019-05-09,14.77,14.845,14.866,14.701,-0.0052
2019-05-08,14.847,14.915,14.972,14.829,-0.0046
2019-05-07,14.916,14.925,14.944,14.8,-0.0006
2019-05-06,14.925,14.924,14.937,14.762,0
2019-05-05,14.925,14.946,14.973,14.913,-0.0009
2019-05-03,14.938,14.627,14.979,14.598,0.0213
2019-05-02,14.627,14.693,14.726,14.567,-0.0046
2019-05-01,14.694,14.95,14.962,14.605,-0.017
2019-04-30,14.948,14.931,15.014,14.822,0.0012
2019-04-29,14.93,15.06,15.069,14.883,-0.0088
2019-04-28,15.062,15.076,15.079,15.059,-0.0011
2019-04-26,15.079,14.957,15.084,14.912,0.008
2019-04-25,14.959,14.931,15.014,14.866,0.0018
2019-04-24,14.932,14.828,14.991,14.793,0.0069
2019-04-23,14.829,15.012,15.038,14.754,-0.012
2019-04-22,15.009,15.027,15.082,14.996,-0.0011
2019-04-21,15.025,15.005,15.033,15.005,0.0014
2019-04-18,15.004,14.989,15.033,14.938,0.001
2019-04-17,14.989,15.008,15.102,14.929,-0.0013
2019-04-16,15.009,15.022,15.022,14.886,-0.0008
2019-04-15,15.021,14.972,15.038,14.855,0.0032
2019-04-14,14.973,14.993,15.006,14.967,-0.0003
2019-04-12,14.977,14.97,15.119,14.957,0.0002
2019-04-11,14.974,15.232,15.255,14.899,-0.0171
2019-04-10,15.235,15.226,15.296,15.151,0.0005
2019-04-09,15.227,15.245,15.342,15.216,-0.0012
2019-04-08,15.246,15.123,15.303,15.121,0.008
2019-04-07,15.125,15.118,15.146,15.117,0.0007
2019-04-05,15.114,15.155,15.213,15.072,-0.0026
2019-04-04,15.153,15.155,15.181,14.903,0.0001
2019-04-03,15.152,15.114,15.195,15.041,0.0025
2019-04-02,15.114,15.101,15.126,14.944,0.0009
2019-04-01,15.101,15.139,15.213,15.06,-0.0027
2019-03-31,15.142,15.127,15.164,15.127,0.0003
2019-03-29,15.138,15.04,15.206,14.988,0.0065
2019-03-28,15.04,15.28,15.337,14.98,-0.0159
2019-03-27,15.283,15.44,15.48,15.268,-0.0102
2019-03-26,15.441,15.534,15.557,15.396,-0.0061
2019-03-25,15.536,15.409,15.585,15.39,0.0081
2019-03-24,15.411,15.421,15.45,15.405,-0.0019
2019-03-22,15.44,15.461,15.55,15.367,-0.0014
2019-03-21,15.462,15.517,15.638,15.383,-0.0034
2019-03-20,15.514,15.374,15.559,15.274,0.009
2019-03-19,15.376,15.344,15.447,15.32,0.002
2019-03-18,15.345,15.271,15.425,15.226,0.0048
2019-03-17,15.271,15.308,15.309,15.27,-0.0015
2019-03-15,15.294,15.187,15.393,15.174,0.007
2019-03-14,15.188,15.447,15.454,15.14,-0.0168
2019-03-13,15.448,15.445,15.538,15.427,0.0001
2019-03-12,15.447,15.309,15.477,15.305,0.0088
2019-03-11,15.312,15.328,15.357,15.216,-0.0009
2019-03-10,15.326,15.317,15.331,15.31,-0.0003
2019-03-08,15.331,15.043,15.373,15.008,0.0191
2019-03-07,15.044,15.085,15.123,14.98,-0.0029
2019-03-06,15.087,15.146,15.159,15.05,-0.0038
2019-03-05,15.145,15.091,15.168,15.05,0.0037
2019-03-04,15.089,15.235,15.28,15.063,-0.0094
2019-03-03,15.232,15.221,15.256,15.218,0.001
2019-03-01,15.217,15.623,15.637,15.149,-0.026
2019-02-28,15.624,15.755,15.826,15.579,-0.0084
2019-02-27,15.756,15.935,16.634,15.703,-0.0111
2019-02-26,15.933,15.899,15.939,15.795,0.0022
2019-02-25,15.898,15.925,16.007,15.85,-0.0017
2019-02-24,15.925,15.899,15.933,15.893,0.0002
2019-02-22,15.922,15.849,15.979,15.812,0.0047
2019-02-21,15.847,16.084,16.105,15.796,-0.0146
2019-02-20,16.082,15.972,16.215,15.963,0.0068
2019-02-19,15.973,15.816,16.007,15.745,0.0098
2019-02-18,15.818,15.785,15.858,15.765,0.002
2019-02-17,15.787,15.784,15.788,15.777,0.0001
2019-02-15,15.786,15.619,15.806,15.563,0.0106
2019-02-14,15.62,15.597,15.69,15.494,0.0014
2019-02-13,15.598,15.709,15.816,15.545,-0.0071
2019-02-12,15.71,15.704,15.831,15.671,0.0003
2019-02-11,15.705,15.826,15.842,15.669,-0.0078
2019-02-10,15.829,15.816,15.832,15.816,-0.0005
2019-02-08,15.837,15.749,15.87,15.662,0.0057
2019-02-07,15.748,15.666,15.758,15.646,0.0053
2019-02-06,15.665,15.854,15.867,15.648,-0.0118
2019-02-05,15.852,15.857,15.931,15.817,-0.0004
2019-02-04,15.858,15.905,15.922,15.694,-0.003
2019-02-03,15.906,15.916,15.929,15.899,0
2019-02-01,15.906,16.05,16.078,15.897,-0.009
