Date	Price	Open	High	Low	Change %
07-Jun-19	15.017	14.873	15.153	14.859	0.97%
06-Jun-19	14.873	14.809	15.002	14.75	0.43%
05-Jun-19	14.81	14.822	15.046	14.771	-0.07%
04-Jun-19	14.82	14.778	14.861	14.668	0.28%
03-Jun-19	14.779	14.627	14.835	14.584	1.04%
02-Jun-19	14.627	14.597	14.628	14.588	0.33%
31-May-19	14.579	14.532	14.686	14.485	0.32%
30-May-19	14.533	14.416	14.576	14.37	0.80%
29-May-19	14.417	14.364	14.483	14.354	0.36%
28-May-19	14.366	14.595	14.608	14.3	-1.56%
27-May-19	14.594	14.575	14.63	14.559	0.13%
26-May-19	14.575	14.573	14.583	14.567	0.06%
24-May-19	14.566	14.604	14.614	14.537	-0.27%
23-May-19	14.605	14.453	14.648	14.422	1.04%
22-May-19	14.454	14.459	14.499	14.402	-0.03%
21-May-19	14.459	14.473	14.476	14.381	-0.09%
20-May-19	14.472	14.444	14.482	14.388	0.17%
19-May-19	14.447	14.415	14.447	14.412	0.25%
17-May-19	14.411	14.543	14.552	14.4	-0.91%
16-May-19	14.543	14.79	14.822	14.527	-1.67%
15-May-19	14.79	14.802	14.854	14.765	-0.07%
14-May-19	14.801	14.793	14.857	14.742	0.05%
13-May-19	14.793	14.756	14.81	14.62	0.24%
12-May-19	14.758	14.787	14.791	14.755	-0.16%
10-May-19	14.781	14.771	14.847	14.739	0.07%
09-May-19	14.77	14.845	14.866	14.701	-0.52%
08-May-19	14.847	14.915	14.972	14.829	-0.46%
07-May-19	14.916	14.925	14.944	14.8	-0.06%
06-May-19	14.925	14.924	14.937	14.762	0.00%
05-May-19	14.925	14.946	14.973	14.913	-0.09%
03-May-19	14.938	14.627	14.979	14.598	2.13%
02-May-19	14.627	14.693	14.726	14.567	-0.46%
01-May-19	14.694	14.95	14.962	14.605	-1.70%
30-Apr-19	14.948	14.931	15.014	14.822	0.12%
29-Apr-19	14.93	15.06	15.069	14.883	-0.88%
28-Apr-19	15.062	15.076	15.079	15.059	-0.11%
26-Apr-19	15.079	14.957	15.084	14.912	0.80%
25-Apr-19	14.959	14.931	15.014	14.866	0.18%
24-Apr-19	14.932	14.828	14.991	14.793	0.69%
23-Apr-19	14.829	15.012	15.038	14.754	-1.20%
22-Apr-19	15.009	15.027	15.082	14.996	-0.11%
21-Apr-19	15.025	15.005	15.033	15.005	0.14%
18-Apr-19	15.004	14.989	15.033	14.938	0.10%
17-Apr-19	14.989	15.008	15.102	14.929	-0.13%
16-Apr-19	15.009	15.022	15.022	14.886	-0.08%
15-Apr-19	15.021	14.972	15.038	14.855	0.32%
14-Apr-19	14.973	14.993	15.006	14.967	-0.03%
12-Apr-19	14.977	14.97	15.119	14.957	0.02%
11-Apr-19	14.974	15.232	15.255	14.899	-1.71%
10-Apr-19	15.235	15.226	15.296	15.151	0.05%
09-Apr-19	15.227	15.245	15.342	15.216	-0.12%
08-Apr-19	15.246	15.123	15.303	15.121	0.80%
07-Apr-19	15.125	15.118	15.146	15.117	0.07%
05-Apr-19	15.114	15.155	15.213	15.072	-0.26%
04-Apr-19	15.153	15.155	15.181	14.903	0.01%
03-Apr-19	15.152	15.114	15.195	15.041	0.25%
02-Apr-19	15.114	15.101	15.126	14.944	0.09%
01-Apr-19	15.101	15.139	15.213	15.06	-0.27%
31-Mar-19	15.142	15.127	15.164	15.127	0.03%
29-Mar-19	15.138	15.04	15.206	14.988	0.65%
28-Mar-19	15.04	15.28	15.337	14.98	-1.59%
27-Mar-19	15.283	15.44	15.48	15.268	-1.02%
26-Mar-19	15.441	15.534	15.557	15.396	-0.61%
25-Mar-19	15.536	15.409	15.585	15.39	0.81%
24-Mar-19	15.411	15.421	15.45	15.405	-0.19%
22-Mar-19	15.44	15.461	15.55	15.367	-0.14%
21-Mar-19	15.462	15.517	15.638	15.383	-0.34%
20-Mar-19	15.514	15.374	15.559	15.274	0.90%
19-Mar-19	15.376	15.344	15.447	15.32	0.20%
18-Mar-19	15.345	15.271	15.425	15.226	0.48%
17-Mar-19	15.271	15.308	15.309	15.27	-0.15%
15-Mar-19	15.294	15.187	15.393	15.174	0.70%
14-Mar-19	15.188	15.447	15.454	15.14	-1.68%
13-Mar-19	15.448	15.445	15.538	15.427	0.01%
12-Mar-19	15.447	15.309	15.477	15.305	0.88%
11-Mar-19	15.312	15.328	15.357	15.216	-0.09%
10-Mar-19	15.326	15.317	15.331	15.31	-0.03%
08-Mar-19	15.331	15.043	15.373	15.008	1.91%
07-Mar-19	15.044	15.085	15.123	14.98	-0.29%
06-Mar-19	15.087	15.146	15.159	15.05	-0.38%
05-Mar-19	15.145	15.091	15.168	15.05	0.37%
04-Mar-19	15.089	15.235	15.28	15.063	-0.94%
03-Mar-19	15.232	15.221	15.256	15.218	0.10%
01-Mar-19	15.217	15.623	15.637	15.149	-2.60%
28-Feb-19	15.624	15.755	15.826	15.579	-0.84%
27-Feb-19	15.756	15.935	16.634	15.703	-1.11%
26-Feb-19	15.933	15.899	15.939	15.795	0.22%
25-Feb-19	15.898	15.925	16.007	15.85	-0.17%
24-Feb-19	15.925	15.899	15.933	15.893	0.02%
22-Feb-19	15.922	15.849	15.979	15.812	0.47%
21-Feb-19	15.847	16.084	16.105	15.796	-1.46%
20-Feb-19	16.082	15.972	16.215	15.963	0.68%
19-Feb-19	15.973	15.816	16.007	15.745	0.98%
18-Feb-19	15.818	15.785	15.858	15.765	0.20%
17-Feb-19	15.787	15.784	15.788	15.777	0.01%
15-Feb-19	15.786	15.619	15.806	15.563	1.06%
14-Feb-19	15.62	15.597	15.69	15.494	0.14%
13-Feb-19	15.598	15.709	15.816	15.545	-0.71%
12-Feb-19	15.71	15.704	15.831	15.671	0.03%
11-Feb-19	15.705	15.826	15.842	15.669	-0.78%
10-Feb-19	15.829	15.816	15.832	15.816	-0.05%
08-Feb-19	15.837	15.749	15.87	15.662	0.57%
07-Feb-19	15.748	15.666	15.758	15.646	0.53%
06-Feb-19	15.665	15.854	15.867	15.648	-1.18%
05-Feb-19	15.852	15.857	15.931	15.817	-0.04%
04-Feb-19	15.858	15.905	15.922	15.694	-0.30%
03-Feb-19	15.906	15.916	15.929	15.899	0.00%
01-Feb-19	15.906	16.05	16.078	15.897	-0.90%
31-Jan-19	16.05	16.059	16.188	15.997	-0.05%
30-Jan-19	16.058	15.833	16.105	15.823	1.41%
29-Jan-19	15.834	15.756	15.917	15.723	0.50%
28-Jan-19	15.755	15.727	15.819	15.608	0.17%
27-Jan-19	15.728	15.745	15.747	15.726	-0.10%
25-Jan-19	15.744	15.319	15.757	15.294	2.77%
24-Jan-19	15.32	15.371	15.398	15.245	-0.34%
23-Jan-19	15.372	15.335	15.435	15.272	0.23%
22-Jan-19	15.337	15.269	15.351	15.185	0.45%
21-Jan-19	15.268	15.344	15.365	15.194	-0.50%
20-Jan-19	15.344	15.343	15.356	15.342	0.05%
18-Jan-19	15.336	15.538	15.581	15.329	-1.31%
17-Jan-19	15.54	15.592	15.617	15.46	-0.35%
16-Jan-19	15.594	15.592	15.647	15.497	0.01%
15-Jan-19	15.593	15.651	15.7	15.546	-0.38%
14-Jan-19	15.652	15.602	15.663	15.549	0.31%
13-Jan-19	15.604	15.598	15.614	15.595	0.03%
11-Jan-19	15.599	15.585	15.739	15.559	0.09%
10-Jan-19	15.585	15.746	15.788	15.555	-1.02%
09-Jan-19	15.745	15.674	15.776	15.585	0.45%
08-Jan-19	15.675	15.662	15.688	15.506	0.08%
07-Jan-19	15.662	15.701	15.818	15.623	-0.25%
06-Jan-19	15.702	15.737	15.737	15.697	0.01%
04-Jan-19	15.7	15.745	15.872	15.588	-0.29%
03-Jan-19	15.746	15.5	15.754	15.492	1.63%
02-Jan-19	15.493	15.376	15.614	15.364	0.01%
01-Jan-19	15.492	15.537	15.537	15.489	-0.02%
31-Dec-18	15.495	15.408	15.522	15.305	0.76%
30-Dec-18	15.378	15.391	15.395	15.36	-0.08%
28-Dec-18	15.39	15.286	15.445	15.23	1.02%
27-Dec-18	15.235	15.056	15.296	14.925	1.34%
26-Dec-18	15.034	14.732	15.173	14.672	1.72%
25-Dec-18	14.78	14.755	14.78	14.755	0.03%
24-Dec-18	14.775	14.714	14.853	14.655	0.75%
23-Dec-18	14.665	14.674	14.68	14.652	0.31%
21-Dec-18	14.62	14.78	14.814	14.6	-0.98%
20-Dec-18	14.764	14.599	14.846	14.514	1.14%
19-Dec-18	14.598	14.64	14.822	14.502	-0.30%
18-Dec-18	14.642	14.664	14.723	14.572	-0.15%
17-Dec-18	14.664	14.57	14.704	14.514	0.67%
16-Dec-18	14.566	14.59	14.59	14.546	-0.02%
14-Dec-18	14.569	14.762	14.762	14.463	-1.30%
13-Dec-18	14.761	14.745	14.81	14.643	0.07%
12-Dec-18	14.75	14.578	14.816	14.52	1.37%
11-Dec-18	14.55	14.548	14.737	14.49	0.13%
10-Dec-18	14.531	14.639	14.644	14.443	-0.54%
09-Dec-18	14.61	14.635	14.654	14.61	-0.07%
07-Dec-18	14.62	14.476	14.649	14.393	1.00%
06-Dec-18	14.475	14.507	14.508	14.303	-0.22%
05-Dec-18	14.507	14.52	14.547	14.383	-0.08%
04-Dec-18	14.519	14.383	14.666	14.349	0.90%
03-Dec-18	14.39	14.27	14.584	14.21	1.07%
02-Dec-18	14.238	14.257	14.282	14.219	0.44%
30-Nov-18	14.175	14.309	14.341	14.014	-0.93%
29-Nov-18	14.308	14.325	14.398	14.234	-0.11%
28-Nov-18	14.324	14.143	14.399	14.074	1.28%
27-Nov-18	14.143	14.229	14.31	14.054	-0.63%
26-Nov-18	14.232	14.322	14.441	14.184	-0.53%
25-Nov-18	14.308	14.313	14.331	14.293	0.13%
23-Nov-18	14.29	14.531	14.554	14.2	-1.51%
22-Nov-18	14.509	14.523	14.571	14.429	0.11%
21-Nov-18	14.493	14.32	14.556	14.243	1.24%
20-Nov-18	14.316	14.425	14.494	14.193	-0.76%
19-Nov-18	14.425	14.402	14.444	14.303	0.06%
18-Nov-18	14.417	14.422	14.428	14.404	0.03%
16-Nov-18	14.413	14.289	14.425	14.193	0.87%
15-Nov-18	14.289	14.135	14.353	14.053	1.09%
14-Nov-18	14.135	13.983	14.199	13.853	0.95%
13-Nov-18	14.002	13.995	14.129	13.913	0.09%
12-Nov-18	13.99	14.169	14.237	13.99	-1.41%
11-Nov-18	14.19	14.162	14.19	14.162	0.22%
09-Nov-18	14.159	14.432	14.443	14.063	-1.88%
08-Nov-18	14.43	14.588	14.609	14.36	-0.96%
07-Nov-18	14.57	14.535	14.722	14.462	0.23%
06-Nov-18	14.536	14.646	14.716	14.444	-0.78%
05-Nov-18	14.65	14.769	14.786	14.58	-0.73%
04-Nov-18	14.757	14.75	14.764	14.739	0.03%
02-Nov-18	14.752	14.765	14.95	14.639	-0.26%
01-Nov-18	14.79	14.285	14.87	14.27	3.74%
31-Oct-18	14.257	14.472	14.511	14.245	-1.44%
30-Oct-18	14.465	14.455	14.551	14.355	-0.07%
29-Oct-18	14.475	14.705	14.788	14.405	-1.52%
28-Oct-18	14.698	14.709	14.721	14.697	0.43%
26-Oct-18	14.635	14.626	14.796	14.575	0.00%
25-Oct-18	14.635	14.698	14.803	14.575	-0.36%
24-Oct-18	14.688	14.793	14.849	14.645	-0.31%
23-Oct-18	14.733	14.547	14.813	14.476	0.67%
22-Oct-18	14.635	14.655	14.714	14.495	-0.10%
21-Oct-18	14.649	14.636	14.668	14.633	0.07%
19-Oct-18	14.639	14.62	14.764	14.556	0.44%
18-Oct-18	14.575	14.607	14.681	14.435	-0.27%
17-Oct-18	14.614	14.646	14.73	14.554	-0.42%
16-Oct-18	14.675	14.73	14.88	14.602	-0.12%
15-Oct-18	14.693	14.615	14.821	14.605	0.43%
14-Oct-18	14.63	14.596	14.647	14.591	0.23%
12-Oct-18	14.597	14.624	14.75	14.516	0.08%
11-Oct-18	14.585	14.341	14.646	14.245	1.97%
10-Oct-18	14.303	14.389	14.475	14.254	-0.64%
09-Oct-18	14.395	14.345	14.461	14.245	0.21%
08-Oct-18	14.365	14.655	14.684	14.245	-1.98%
07-Oct-18	14.655	14.649	14.665	14.646	0.17%
05-Oct-18	14.63	14.63	14.756	14.5	0.27%
04-Oct-18	14.59	14.65	14.8	14.52	-0.27%
03-Oct-18	14.63	14.73	14.873	14.62	-0.37%
02-Oct-18	14.685	14.506	14.954	14.445	1.28%
01-Oct-18	14.5	14.689	14.723	14.369	-1.08%
30-Sep-18	14.658	14.675	14.688	14.654	0.05%
28-Sep-18	14.65	14.28	14.768	14.24	2.88%
27-Sep-18	14.24	14.352	14.498	14.18	-0.66%
26-Sep-18	14.335	14.485	14.555	14.305	-0.86%
25-Sep-18	14.46	14.277	14.597	14.24	1.38%
24-Sep-18	14.263	14.309	14.427	14.179	-0.08%
23-Sep-18	14.274	14.297	14.299	14.264	-0.17%
21-Sep-18	14.299	14.343	14.479	14.179	-0.04%
20-Sep-18	14.305	14.262	14.387	14.175	0.41%
19-Sep-18	14.246	14.165	14.384	14.164	0.66%
18-Sep-18	14.152	14.182	14.264	14.071	-0.30%
17-Sep-18	14.195	14.075	14.293	14.045	0.96%
16-Sep-18	14.06	14.072	14.078	14.044	-0.09%
14-Sep-18	14.073	14.193	14.315	14.053	-0.87%
13-Sep-18	14.197	14.291	14.386	14.165	-0.39%
12-Sep-18	14.253	14.152	14.323	14.063	0.82%
11-Sep-18	14.137	14.189	14.277	13.948	-0.34%
10-Sep-18	14.185	14.182	14.275	14.065	0.14%
09-Sep-18	14.165	14.147	14.173	14.146	0.16%
07-Sep-18	14.143	14.171	14.298	14.093	-0.11%
06-Sep-18	14.158	14.205	14.341	14.108	-0.19%
05-Sep-18	14.185	14.11	14.257	14.075	0.39%
04-Sep-18	14.13	14.534	14.562	14.02	-2.62%
03-Sep-18	14.51	14.538	14.598	14.42	-0.11%
02-Sep-18	14.526	14.525	14.54	14.519	0.01%
31-Aug-18	14.525	14.56	14.737	14.465	-0.30%
30-Aug-18	14.568	14.815	14.844	14.504	-1.31%
29-Aug-18	14.762	14.72	14.831	14.671	0.37%
28-Aug-18	14.707	14.915	15.041	14.674	-1.30%
27-Aug-18	14.9	14.886	14.963	14.755	0.24%
26-Aug-18	14.864	14.866	14.87	14.829	0.33%
24-Aug-18	14.815	14.49	14.892	14.475	2.19%
23-Aug-18	14.498	14.766	14.796	14.44	-1.81%
22-Aug-18	14.765	14.759	14.914	14.686	-0.13%
21-Aug-18	14.784	14.761	14.882	14.709	0.18%
20-Aug-18	14.757	14.784	14.889	14.645	-0.20%
19-Aug-18	14.787	14.778	14.793	14.759	-0.09%
17-Aug-18	14.8	14.655	14.86	14.59	0.99%
16-Aug-18	14.655	14.465	14.877	14.345	1.40%
15-Aug-18	14.453	15.069	15.109	14.353	-3.55%
14-Aug-18	14.985	14.991	15.134	14.985	-0.07%
13-Aug-18	14.996	15.335	15.383	14.985	-2.14%
12-Aug-18	15.324	15.31	15.345	15.306	0.09%
10-Aug-18	15.31	15.453	15.485	15.278	-0.96%
09-Aug-18	15.458	15.431	15.555	15.366	0.27%
08-Aug-18	15.417	15.361	15.497	15.273	0.27%
07-Aug-18	15.376	15.308	15.535	15.298	0.43%
06-Aug-18	15.31	15.471	15.538	15.28	-0.85%
05-Aug-18	15.441	15.416	15.443	15.413	0.14%
03-Aug-18	15.42	15.341	15.593	15.25	0.55%
02-Aug-18	15.335	15.395	15.509	15.274	-0.38%
01-Aug-18	15.393	15.562	15.582	15.377	-0.94%
31-Jul-18	15.539	15.505	15.634	15.345	0.17%
30-Jul-18	15.512	15.481	15.577	15.381	0.14%
29-Jul-18	15.49	15.479	15.512	15.475	-0.09%
27-Jul-18	15.504	15.414	15.585	15.338	0.69%
26-Jul-18	15.397	15.572	15.696	15.37	-1.29%
25-Jul-18	15.599	15.483	15.672	15.442	0.76%
24-Jul-18	15.481	15.408	15.634	15.34	0.55%
23-Jul-18	15.397	15.509	15.588	15.339	-0.87%
22-Jul-18	15.532	15.513	15.54	15.501	0.10%
20-Jul-18	15.517	15.342	15.585	15.255	1.37%
19-Jul-18	15.307	15.575	15.616	15.175	-1.66%
18-Jul-18	15.565	15.583	15.645	15.415	-0.19%
17-Jul-18	15.594	15.806	15.909	15.556	-1.24%
16-Jul-18	15.79	15.84	15.926	15.76	-0.17%
15-Jul-18	15.817	15.784	15.832	15.784	-0.01%
13-Jul-18	15.819	15.944	16.026	15.709	-0.79%
12-Jul-18	15.945	15.817	16.039	15.765	0.96%
11-Jul-18	15.794	16.077	16.107	15.78	-1.78%
10-Jul-18	16.081	16.114	16.197	15.905	-0.22%
09-Jul-18	16.116	16.049	16.259	16.044	0.32%
08-Jul-18	16.065	16.045	16.069	16.04	0.17%
06-Jul-18	16.038	16.018	16.114	15.938	0.11%
05-Jul-18	16.02	16.09	16.138	15.92	-0.40%
04-Jul-18	16.084	16.055	16.188	15.979	0.23%
03-Jul-18	16.047	15.839	16.072	15.759	1.21%
02-Jul-18	15.855	16.115	16.152	15.755	-1.63%
01-Jul-18	16.117	16.093	16.13	16.086	-0.01%
29-Jun-18	16.119	15.995	16.199	15.959	0.74%
28-Jun-18	16.001	16.077	16.176	15.925	-0.30%
27-Jun-18	16.049	16.248	16.306	15.944	-1.51%
26-Jun-18	16.295	16.349	16.403	16.145	-0.24%
25-Jun-18	16.335	16.511	16.516	16.291	-0.88%
24-Jun-18	16.48	16.459	16.489	16.441	0.02%
22-Jun-18	16.477	16.349	16.53	16.303	0.74%
21-Jun-18	16.356	16.314	16.41	16.21	0.38%
20-Jun-18	16.294	16.304	16.398	16.24	-0.16%
19-Jun-18	16.32	16.484	16.593	16.256	-0.64%
18-Jun-18	16.425	16.535	16.65	16.415	-0.92%
17-Jun-18	16.578	16.536	16.583	16.534	0.12%
15-Jun-18	16.558	17.186	17.299	16.465	-3.60%
14-Jun-18	17.177	17.059	17.361	16.935	0.80%
13-Jun-18	17.041	16.871	17.153	16.801	1.09%
12-Jun-18	16.858	16.897	16.955	16.713	-0.43%
11-Jun-18	16.931	16.785	16.993	16.754	1.00%
10-Jun-18	16.763	16.79	16.793	16.747	-0.11%
08-Jun-18	16.781	16.73	16.876	16.625	0.45%
07-Jun-18	16.706	16.685	16.944	16.644	0.10%
06-Jun-18	16.689	16.513	16.783	16.508	1.15%
05-Jun-18	16.499	16.402	16.573	16.368	0.56%
04-Jun-18	16.407	16.423	16.588	16.373	0.02%
03-Jun-18	16.404	16.403	16.418	16.401	0.02%
01-Jun-18	16.4	16.448	16.551	16.348	0.15%
31-May-18	16.375	16.507	16.62	16.375	-0.84%
30-May-18	16.514	16.387	16.558	16.284	0.55%
29-May-18	16.423	16.458	16.544	16.319	-0.32%
28-May-18	16.476	16.494	16.512	16.413	-0.11%
27-May-18	16.494	16.511	16.512	16.475	-0.08%
25-May-18	16.508	16.668	16.745	16.488	-0.93%
