Date,price,Open,High,Low,Change %
2019-06-07,1340.58,1333.51,1348.34,1330.35,0.0053
2019-06-06,1333.52,1331.01,1339.89,1327.32,0.0019
2019-06-05,1330.99,1325.5,1344.08,1325.4,0.0042
2019-06-04,1325.41,1325.24,1329.12,1320.07,0.0001
2019-06-03,1325.24,1309.44,1328.03,1308.6,0.0121
2019-06-02,1309.45,1307.66,1309.53,1306.14,0.003
2019-05-31,1305.51,1290.57,1307.02,1290.49,0.0116
2019-05-30,1290.58,1279.96,1290.72,1275.11,0.0083
2019-05-29,1279.96,1279.95,1285.59,1279.19,-0.0001
2019-05-28,1280.03,1285.85,1286.66,1276.24,-0.0045
2019-05-27,1285.82,1284.76,1287.45,1283.84,0.0008
2019-05-26,1284.81,1284.91,1285.8,1284.33,0
2019-05-24,1284.87,1284.12,1285.28,1280.87,0.0005
2019-05-23,1284.26,1274.23,1287.33,1272.9,0.0078
2019-05-22,1274.32,1274.69,1277.36,1272.57,-0.0003
2019-05-21,1274.68,1277.53,1277.54,1269.57,-0.0022
2019-05-20,1277.51,1277.8,1279.01,1273.74,-0.0003
2019-05-19,1277.83,1278.95,1278.95,1277.09,0
2019-05-17,1277.81,1285.91,1288.99,1275.06,-0.0064
2019-05-16,1285.98,1296.59,1298.79,1284.21,-0.0082
2019-05-15,1296.55,1297.14,1300.93,1293.13,-0.0005
2019-05-14,1297.14,1301.83,1303.35,1293.81,-0.0036
2019-05-13,1301.81,1287.31,1301.81,1282.06,0.0113
2019-05-12,1287.3,1286.65,1288.15,1286.61,0.0011
2019-05-10,1285.93,1283.84,1289.48,1283.27,0.0017
2019-05-09,1283.81,1281.44,1288.26,1279.69,0.0018
2019-05-08,1281.44,1284.92,1291.53,1279.45,-0.0027
2019-05-07,1284.91,1282.97,1286.15,1278.29,0.0015
2019-05-06,1282.98,1284.3,1285.22,1277.11,-0.001
2019-05-05,1284.29,1280.11,1285.89,1280.08,0.004
2019-05-03,1279.15,1270.86,1282.61,1268.49,0.0065
2019-05-02,1270.86,1277.17,1277.49,1266.35,-0.0049
2019-05-01,1277.17,1283.22,1287.28,1273.13,-0.0047
2019-04-30,1283.26,1280.49,1286.26,1279.97,0.0022
2019-04-29,1280.49,1285.93,1286.7,1278.17,-0.0042
2019-04-28,1285.94,1286.76,1286.76,1285.82,-0.0001
2019-04-26,1286.01,1278.66,1288.77,1274.45,0.0057
2019-04-25,1278.71,1274.78,1282.63,1273.43,0.0031
2019-04-24,1274.79,1271.54,1278.57,1268.85,0.0026
