Date	Price	Open	High	Low	Change %
07-Jun-19	"1,340.58"	"1,333.51"	"1,348.34"	"1,330.35"	0.53%
06-Jun-19	"1,333.52"	"1,331.01"	"1,339.89"	"1,327.32"	0.19%
05-Jun-19	"1,330.99"	"1,325.50"	"1,344.08"	"1,325.40"	0.42%
04-Jun-19	"1,325.41"	"1,325.24"	"1,329.12"	"1,320.07"	0.01%
03-Jun-19	"1,325.24"	"1,309.44"	"1,328.03"	"1,308.60"	1.21%
02-Jun-19	"1,309.45"	"1,307.66"	"1,309.53"	"1,306.14"	0.30%
31-May-19	"1,305.51"	"1,290.57"	"1,307.02"	"1,290.49"	1.16%
30-May-19	"1,290.58"	"1,279.96"	"1,290.72"	"1,275.11"	0.83%
29-May-19	"1,279.96"	"1,279.95"	"1,285.59"	"1,279.19"	-0.01%
28-May-19	"1,280.03"	"1,285.85"	"1,286.66"	"1,276.24"	-0.45%
27-May-19	"1,285.82"	"1,284.76"	"1,287.45"	"1,283.84"	0.08%
26-May-19	"1,284.81"	"1,284.91"	"1,285.80"	"1,284.33"	0.00%
24-May-19	"1,284.87"	"1,284.12"	"1,285.28"	"1,280.87"	0.05%
23-May-19	"1,284.26"	"1,274.23"	"1,287.33"	"1,272.90"	0.78%
22-May-19	"1,274.32"	"1,274.69"	"1,277.36"	"1,272.57"	-0.03%
21-May-19	"1,274.68"	"1,277.53"	"1,277.54"	"1,269.57"	-0.22%
20-May-19	"1,277.51"	"1,277.80"	"1,279.01"	"1,273.74"	-0.03%
19-May-19	"1,277.83"	"1,278.95"	"1,278.95"	"1,277.09"	0.00%
17-May-19	"1,277.81"	"1,285.91"	"1,288.99"	"1,275.06"	-0.64%
16-May-19	"1,285.98"	"1,296.59"	"1,298.79"	"1,284.21"	-0.82%
15-May-19	"1,296.55"	"1,297.14"	"1,300.93"	"1,293.13"	-0.05%
14-May-19	"1,297.14"	"1,301.83"	"1,303.35"	"1,293.81"	-0.36%
13-May-19	"1,301.81"	"1,287.31"	"1,301.81"	"1,282.06"	1.13%
12-May-19	"1,287.30"	"1,286.65"	"1,288.15"	"1,286.61"	0.11%
10-May-19	"1,285.93"	"1,283.84"	"1,289.48"	"1,283.27"	0.17%
09-May-19	"1,283.81"	"1,281.44"	"1,288.26"	"1,279.69"	0.18%
08-May-19	"1,281.44"	"1,284.92"	"1,291.53"	"1,279.45"	-0.27%
07-May-19	"1,284.91"	"1,282.97"	"1,286.15"	"1,278.29"	0.15%
06-May-19	"1,282.98"	"1,284.30"	"1,285.22"	"1,277.11"	-0.10%
05-May-19	"1,284.29"	"1,280.11"	"1,285.89"	"1,280.08"	0.40%
03-May-19	"1,279.15"	"1,270.86"	"1,282.61"	"1,268.49"	0.65%
02-May-19	"1,270.86"	"1,277.17"	"1,277.49"	"1,266.35"	-0.49%
01-May-19	"1,277.17"	"1,283.22"	"1,287.28"	"1,273.13"	-0.47%
30-Apr-19	"1,283.26"	"1,280.49"	"1,286.26"	"1,279.97"	0.22%
29-Apr-19	"1,280.49"	"1,285.93"	"1,286.70"	"1,278.17"	-0.42%
28-Apr-19	"1,285.94"	"1,286.76"	"1,286.76"	"1,285.82"	-0.01%
26-Apr-19	"1,286.01"	"1,278.66"	"1,288.77"	"1,274.45"	0.57%
25-Apr-19	"1,278.71"	"1,274.78"	"1,282.63"	"1,273.43"	0.31%
24-Apr-19	"1,274.79"	"1,271.54"	"1,278.57"	"1,268.85"	0.26%
23-Apr-19	"1,271.53"	"1,274.83"	"1,276.56"	"1,266.43"	-0.25%
22-Apr-19	"1,274.72"	"1,276.86"	"1,279.87"	"1,273.89"	-0.17%
21-Apr-19	"1,276.86"	"1,275.80"	"1,277.30"	"1,275.55"	0.09%
18-Apr-19	"1,275.68"	"1,274.28"	"1,277.70"	"1,271.35"	0.11%
17-Apr-19	"1,274.28"	"1,276.62"	"1,279.85"	"1,273.15"	-0.19%
16-Apr-19	"1,276.68"	"1,288.44"	"1,288.45"	"1,273.04"	-0.91%
15-Apr-19	"1,288.44"	"1,289.78"	"1,290.47"	"1,282.61"	-0.11%
14-Apr-19	"1,289.85"	"1,291.22"	"1,292.01"	"1,289.45"	-0.07%
12-Apr-19	"1,290.69"	"1,292.19"	"1,295.84"	"1,290.15"	-0.13%
11-Apr-19	"1,292.33"	"1,308.17"	"1,308.43"	"1,289.71"	-1.21%
10-Apr-19	"1,308.15"	"1,304.66"	"1,310.65"	"1,301.04"	0.26%
09-Apr-19	"1,304.74"	"1,298.02"	"1,306.24"	"1,296.70"	0.51%
08-Apr-19	"1,298.10"	"1,291.85"	"1,303.78"	"1,291.78"	0.48%
07-Apr-19	"1,291.91"	"1,291.81"	"1,293.37"	"1,291.51"	0.03%
05-Apr-19	"1,291.55"	"1,292.26"	"1,293.23"	"1,284.59"	-0.05%
04-Apr-19	"1,292.23"	"1,291.91"	"1,294.45"	"1,281.02"	0.02%
03-Apr-19	"1,291.91"	"1,291.78"	"1,294.66"	"1,288.49"	0.00%
02-Apr-19	"1,291.87"	"1,287.48"	"1,292.94"	"1,285.45"	0.34%
01-Apr-19	"1,287.49"	"1,291.84"	"1,297.05"	"1,286.55"	-0.34%
31-Mar-19	"1,291.84"	"1,292.28"	"1,293.32"	"1,291.57"	-0.03%
29-Mar-19	"1,292.18"	"1,291.64"	"1,299.84"	"1,286.80"	0.04%
28-Mar-19	"1,291.64"	"1,309.39"	"1,312.39"	"1,288.64"	-1.36%
27-Mar-19	"1,309.49"	"1,316.54"	"1,319.38"	"1,308.23"	-0.53%
26-Mar-19	"1,316.52"	"1,321.40"	"1,322.26"	"1,312.79"	-0.37%
25-Mar-19	"1,321.39"	"1,311.72"	"1,324.57"	"1,311.09"	0.73%
24-Mar-19	"1,311.79"	"1,313.90"	"1,314.13"	"1,311.78"	-0.13%
22-Mar-19	"1,313.44"	"1,308.70"	"1,315.02"	"1,306.91"	0.37%
21-Mar-19	"1,308.65"	"1,315.54"	"1,320.42"	"1,303.41"	-0.52%
20-Mar-19	"1,315.51"	"1,306.31"	"1,317.05"	"1,298.79"	0.70%
19-Mar-19	"1,306.33"	"1,303.58"	"1,310.93"	"1,303.53"	0.21%
18-Mar-19	"1,303.57"	"1,300.70"	"1,306.72"	"1,298.31"	0.22%
