date, value
1959-07-06,0.291
1959-07-07,0.282
1959-07-08,0.2846
1959-07-09,0.276
1959-07-10,0.2757
1959-07-13,0.278
1959-07-14,0.2855
1959-07-15,0.2873
1959-07-16,0.2915
1959-07-17,0.2916
1959-07-20,0.2893
1959-07-21,0.2916
1959-07-22,0.2943
1959-07-23,0.2939
1959-07-24,0.2933
1959-07-27,0.2932
1959-07-28,0.2935
1959-07-29,0.285
1959-07-30,0.2874
1959-07-31,0.2915
1959-08-03,0.2932
1959-08-04,0.29
1959-08-05,0.2905
1959-08-06,0.2945
1959-08-07,0.2993
1959-08-10,0.302
1959-08-11,0.3028
1959-08-12,0.3049
1959-08-13,0.308
1959-08-14,0.3065
1959-08-17,0.294
1959-08-18,0.301
1959-08-19,0.302
1959-08-20,0.301
1959-08-21,0.3001
1959-08-24,0.2998
1959-08-25,0.298
1959-08-26,0.3018
1959-08-27,0.304
1959-08-28,0.3069
1959-08-31,0.3123
1959-09-01,0.307
1959-09-02,0.3078
1959-09-03,0.3083
1959-09-04,0.3101
1959-09-08,0.3113
1959-09-09,0.3089
1959-09-10,0.3075
1959-09-11,0.3076
1959-09-14,0.3023
1959-09-15,0.2983
1959-09-16,0.2996
1959-09-17,0.2979
1959-09-18,0.2943
1959-09-21,0.291
1959-09-22,0.2917
1959-09-23,0.297
1959-09-24,0.3018
1959-09-25,0.3026
1959-09-28,0.3003
1959-09-29,0.3025
1959-09-30,0.3038
1959-10-01,0.305
1959-10-02,0.3092
1959-10-05,0.3108
1959-10-06,0.3117
1959-10-07,0.3076
1959-10-08,0.309
1959-10-09,0.3099
1959-10-13,0.308
1959-10-14,0.312
1959-10-15,0.3112
1959-10-16,0.3115
1959-10-19,0.316
1959-10-20,0.322
1959-10-21,0.3246
1959-10-22,0.3288
1959-10-23,0.3265
1959-10-26,0.3272
1959-10-27,0.331
1959-10-28,0.3315
1959-10-29,0.332
1959-10-30,0.33
1959-11-02,0.3335
1959-11-04,0.3418
1959-11-05,0.3425
1959-11-06,0.3474
1959-11-09,0.3487
1959-11-10,0.353
1959-11-11,0.3472
1959-11-12,0.3422
1959-11-13,0.3365
1959-11-16,0.3285
1959-11-17,0.3197
1959-11-18,0.3215
1959-11-19,0.3259
1959-11-20,0.3237
1959-11-23,0.32
1959-11-24,0.3222
1959-11-25,0.317
1959-11-27,0.3121
1959-11-30,0.3095
1959-12-01,0.3175
1959-12-02,0.3219
1959-12-03,0.319
1959-12-04,0.3192
1959-12-07,0.3216
1959-12-08,0.3264
1959-12-09,0.3265
1959-12-10,0.3286
1959-12-11,0.3248
1959-12-14,0.3235
1959-12-15,0.3284
1959-12-16,0.3233
1959-12-17,0.3215
1959-12-18,0.3269
1959-12-21,0.3297
1959-12-22,0.3296
1959-12-23,0.3312
1959-12-24,0.3338
1959-12-28,0.3364
1959-12-29,0.3278
1959-12-30,0.3231
1959-12-31,0.3199
1960-01-04,0.3187
1960-01-05,0.318
1960-01-06,0.3195
1960-01-07,0.315
1960-01-08,0.3171
1960-01-11,0.3195
1960-01-12,0.3173
1960-01-13,0.3176
1960-01-14,0.3188
1960-01-15,0.321
1960-01-18,0.3213
1960-01-19,0.3197
1960-01-20,0.3195
1960-01-21,0.3197
1960-01-22,0.3225
1960-01-25,0.3267
1960-01-26,0.3283
1960-01-27,0.3265
1960-01-28,0.324
1960-01-29,0.3201
1960-02-01,0.3166
1960-02-02,0.3186
1960-02-03,0.3181
1960-02-04,0.3236
1960-02-05,0.3222
1960-02-08,0.3233
1960-02-09,0.3265
1960-02-10,0.3255
1960-02-11,0.3274
1960-02-12,0.3286
1960-02-15,0.3255
1960-02-16,0.324
1960-02-17,0.326
1960-02-18,0.328
1960-02-19,0.3265
1960-02-23,0.3202
1960-02-24,0.3173
1960-02-25,0.3157
1960-02-26,0.31
1960-02-29,0.302
1960-03-01,0.2955
1960-03-02,0.2964
1960-03-03,0.296
1960-03-04,0.2925
1960-03-07,0.2911
1960-03-08,0.2919
1960-03-09,0.2933
1960-03-10,0.2907
1960-03-11,0.2855
1960-03-14,0.2877
1960-03-15,0.2875
1960-03-16,0.2862
1960-03-17,0.2847
1960-03-18,0.2894
1960-03-21,0.2902
1960-03-22,0.2912
1960-03-23,0.2929
1960-03-24,0.2939
1960-03-25,0.2953
1960-03-28,0.294
1960-03-29,0.2891
1960-03-30,0.2893
1960-03-31,0.2917
1960-04-01,0.291
1960-04-04,0.2901
1960-04-05,0.2919
1960-04-06,0.2935
1960-04-07,0.2968
1960-04-08,0.297
1960-04-11,0.2987
1960-04-12,0.2999
1960-04-13,0.3017
1960-04-14,0.2994
1960-04-18,0.2991
1960-04-19,0.2987
1960-04-20,0.3004
1960-04-21,0.3044
1960-04-22,0.3099
1960-04-25,0.3119
1960-04-26,0.3047
1960-04-27,0.3048
1960-04-28,0.2987
1960-04-29,0.2943
1960-05-02,0.2931
1960-05-03,0.299
1960-05-04,0.2955
1960-05-05,0.294
1960-05-06,0.2915
1960-05-09,0.2926
1960-05-10,0.2925
1960-05-11,0.2925
1960-05-12,0.293
1960-05-13,0.2908
1960-05-16,0.2909
1960-05-17,0.2969
1960-05-18,0.2963
1960-05-19,0.2987
1960-05-20,0.3035
1960-05-23,0.3048
1960-05-24,0.3
1960-05-25,0.2964
1960-05-26,0.2965
1960-05-27,0.2967
1960-05-31,0.301
1960-06-01,0.3037
1960-06-02,0.3108
1960-06-03,0.3106
1960-06-06,0.3141
1960-06-07,0.311
1960-06-08,0.3084
1960-06-09,0.3112
1960-06-10,0.3124
1960-06-13,0.3136
1960-06-14,0.322
1960-06-15,0.3186
1960-06-16,0.3165
1960-06-17,0.3192
1960-06-20,0.316
1960-06-21,0.3185
1960-06-22,0.3152
1960-06-23,0.3135
1960-06-24,0.3097
1960-06-27,0.3088
1960-06-28,0.3084
1960-06-29,0.3074
1960-06-30,0.3054
1960-07-01,0.3028
1960-07-05,0.3012
1960-07-06,0.3028
1960-07-07,0.3027
1960-07-08,0.3074
1960-07-11,0.3119
1960-07-12,0.3085
1960-07-13,0.3102
1960-07-14,0.3086
1960-07-15,0.3055
1960-07-18,0.3076
1960-07-19,0.3058
1960-07-20,0.3096
1960-07-21,0.309
1960-07-22,0.3074
1960-07-25,0.3068
1960-07-26,0.308
1960-07-27,0.3088
1960-07-28,0.3071
1960-07-29,0.3072
1960-08-01,0.3084
1960-08-02,0.3075
1960-08-03,0.3077
1960-08-04,0.3059
1960-08-05,0.3058
1960-08-08,0.3035
1960-08-09,0.3035
1960-08-10,0.3027
1960-08-11,0.3022
1960-08-12,0.3025
1960-08-15,0.3006
1960-08-16,0.3025
1960-08-17,0.303
1960-08-18,0.3037
1960-08-19,0.3045
1960-08-22,0.3017
1960-08-23,0.3026
1960-08-24,0.3035
1960-08-25,0.3038
1960-08-26,0.3013
1960-08-29,0.2992
1960-08-30,0.2967
1960-08-31,0.2929
1960-09-01,0.2931
1960-09-02,0.293
1960-09-06,0.2925
1960-09-07,0.2917
1960-09-08,0.2894
1960-09-09,0.289
1960-09-12,0.2892
1960-09-13,0.2895
1960-09-14,0.2913
1960-09-15,0.2921
1960-09-16,0.2937
1960-09-19,0.2893
1960-09-20,0.2912
1960-09-21,0.2925
1960-09-22,0.2905
1960-09-23,0.2901
1960-09-26,0.2882
1960-09-27,0.2883
1960-09-28,0.288
1960-09-29,0.2867
1960-09-30,0.2881
1960-10-03,0.2842
1960-10-04,0.2825
1960-10-05,0.2825
1960-10-06,0.2818
1960-10-07,0.2819
1960-10-10,0.2839
1960-10-11,0.2822
1960-10-12,0.278
1960-10-13,0.278
1960-10-14,0.2789
1960-10-17,0.2796
1960-10-18,0.2771
1960-10-19,0.2768
1960-10-20,0.2802
1960-10-21,0.2766
1960-10-24,0.277
1960-10-25,0.2776
1960-10-26,0.2774
1960-10-27,0.2789
1960-10-28,0.278
1960-10-31,0.2782
1960-11-01,0.2796
1960-11-02,0.282
1960-11-03,0.2826
1960-11-04,0.2818
1960-11-07,0.2842
1960-11-09,0.2862
1960-11-10,0.2838
1960-11-11,0.2832
1960-11-14,0.2795
1960-11-15,0.2823
1960-11-16,0.2795
1960-11-17,0.2804
1960-11-18,0.2804
1960-11-21,0.284
1960-11-22,0.2835
1960-11-23,0.2818
1960-11-25,0.2813
1960-11-28,0.2807
1960-11-29,0.2795
1960-11-30,0.2805
1960-12-01,0.2819
1960-12-02,0.2817
1960-12-05,0.2828
1960-12-06,0.283
1960-12-07,0.2806
1960-12-08,0.2814
1960-12-09,0.2815
1960-12-12,0.2814
1960-12-13,0.2791
1960-12-14,0.2779
1960-12-15,0.2753
1960-12-16,0.276
1960-12-19,0.2757
1960-12-20,0.2772
1960-12-21,0.278
1960-12-22,0.2793
1960-12-23,0.2791
1960-12-27,0.2784
1960-12-28,0.2764
1960-12-29,0.2767
1960-12-30,0.2773
1961-01-03,0.2767
1961-01-04,0.2745
1961-01-05,0.276
1961-01-06,0.2763
1961-01-09,0.2701
1961-01-10,0.2696
1961-01-11,0.2672
1961-01-12,0.2684
1961-01-13,0.2702
1961-01-16,0.2675
1961-01-17,0.2709
1961-01-18,0.274
1961-01-19,0.2727
1961-01-20,0.2726
1961-01-23,0.275
1961-01-24,0.2737
1961-01-25,0.2709
1961-01-26,0.2713
1961-01-27,0.2726
1961-01-30,0.2757
1961-01-31,0.2739
1961-02-01,0.2755
1961-02-02,0.2768
1961-02-03,0.2765
1961-02-06,0.278
1961-02-07,0.2785
1961-02-08,0.2782
1961-02-09,0.2783
1961-02-10,0.2796
1961-02-13,0.2808
1961-02-14,0.2828
1961-02-15,0.2836
1961-02-16,0.2821
1961-02-17,0.2845
1961-02-20,0.2868
1961-02-21,0.2874
1961-02-23,0.2879
1961-02-24,0.2906
1961-02-27,0.2874
1961-02-28,0.2866
1961-03-01,0.2847
1961-03-02,0.2868
1961-03-03,0.286
1961-03-06,0.2878
1961-03-07,0.2869
1961-03-08,0.2861
1961-03-09,0.2842
1961-03-10,0.284
1961-03-13,0.2837
1961-03-14,0.2844
1961-03-15,0.2855
1961-03-16,0.286
1961-03-17,0.2908
1961-03-20,0.29
1961-03-21,0.2885
1961-03-22,0.288
1961-03-23,0.2893
1961-03-24,0.2892
1961-03-27,0.2842
1961-03-28,0.285
1961-03-29,0.285
1961-03-30,0.2857
1961-04-03,0.2853
1961-04-04,0.2875
1961-04-05,0.2875
1961-04-06,0.29
1961-04-07,0.2928
1961-04-10,0.2943
1961-04-11,0.2951
1961-04-12,0.2985
1961-04-13,0.2977
1961-04-14,0.2957
1961-04-17,0.2971
1961-04-18,0.2988
1961-04-19,0.2944
1961-04-20,0.2966
1961-04-21,0.297
1961-04-24,0.2988
1961-04-25,0.2987
1961-04-26,0.301
1961-04-27,0.3057
1961-04-28,0.3038
1961-05-01,0.306
1961-05-02,0.3064
1961-05-03,0.3094
1961-05-04,0.3082
1961-05-05,0.3122
1961-05-08,0.3125
1961-05-09,0.312
1961-05-10,0.3128
1961-05-11,0.3115
1961-05-12,0.3135
1961-05-15,0.3173
1961-05-16,0.3198
1961-05-17,0.3189
1961-05-18,0.319
1961-05-19,0.321
1961-05-22,0.3257
1961-05-23,0.3255
1961-05-24,0.3276
1961-05-25,0.3207
1961-05-26,0.3227
1961-05-31,0.3178
1961-06-01,0.3146
1961-06-02,0.3164
1961-06-05,0.3127
1961-06-06,0.3107
1961-06-07,0.3064
1961-06-08,0.3085
1961-06-09,0.3105
1961-06-12,0.3051
1961-06-13,0.3048
1961-06-14,0.3041
1961-06-15,0.3018
1961-06-16,0.2982
1961-06-19,0.297
1961-06-20,0.3014
1961-06-21,0.3047
1961-06-22,0.3047
1961-06-23,0.3052
1961-06-26,0.3048
1961-06-27,0.3057
1961-06-28,0.3102
1961-06-29,0.3078
1961-06-30,0.3065
1961-07-03,0.3007
1961-07-05,0.3023
1961-07-06,0.2994
1961-07-07,0.3023
1961-07-10,0.3025
1961-07-11,0.3034
1961-07-12,0.3021
1961-07-13,0.3023
1961-07-14,0.3025
1961-07-17,0.3044
1961-07-18,0.3025
1961-07-19,0.3018
1961-07-20,0.305
1961-07-21,0.3065
1961-07-24,0.307
1961-07-25,0.3049
1961-07-26,0.3055
1961-07-27,0.3057
1961-07-28,0.3064
1961-07-31,0.3077
1961-08-01,0.3037
1961-08-02,0.3037
1961-08-03,0.3027
1961-08-04,0.304
1961-08-07,0.3063
1961-08-08,0.3056
1961-08-09,0.3056
1961-08-10,0.3047
1961-08-11,0.3062
1961-08-14,0.306
1961-08-15,0.3055
1961-08-16,0.3075
1961-08-17,0.3082
1961-08-18,0.3078
1961-08-21,0.3102
1961-08-22,0.3098
1961-08-23,0.3087
1961-08-24,0.3071
1961-08-25,0.3092
1961-08-28,0.3114
1961-08-29,0.3123
1961-08-30,0.3123
1961-08-31,0.3136
1961-09-01,0.3144
1961-09-05,0.3148
1961-09-06,0.3136
1961-09-07,0.3114
1961-09-08,0.3105
1961-09-11,0.3109
1961-09-12,0.3126
1961-09-13,0.3132
1961-09-14,0.3122
1961-09-15,0.3114
1961-09-18,0.309
1961-09-19,0.3083
1961-09-20,0.307
1961-09-21,0.3063
1961-09-22,0.3056
1961-09-25,0.3032
1961-09-26,0.3014
1961-09-27,0.3019
1961-09-28,0.2994
1961-09-29,0.2979
1961-10-02,0.297
1961-10-03,0.2981
1961-10-04,0.3019
1961-10-05,0.3026
1961-10-06,0.3006
1961-10-09,0.2968
1961-10-10,0.2982
1961-10-11,0.2985
1961-10-12,0.3019
1961-10-13,0.3045
1961-10-16,0.303
1961-10-17,0.3003
1961-10-18,0.2996
1961-10-19,0.3006
1961-10-20,0.3001
1961-10-23,0.2977
1961-10-24,0.2985
1961-10-25,0.3002
1961-10-26,0.3011
1961-10-27,0.3
1961-10-30,0.2985
1961-10-31,0.298
1961-11-01,0.2982
1961-11-02,0.2983
1961-11-03,0.2995
1961-11-06,0.2998
1961-11-08,0.3023
1961-11-09,0.3006
1961-11-10,0.2962
1961-11-13,0.295
1961-11-14,0.2945
1961-11-15,0.2953
1961-11-16,0.2952
1961-11-17,0.2961
1961-11-20,0.2965
1961-11-21,0.2951
1961-11-22,0.2961
1961-11-24,0.2978
1961-11-27,0.2981
1961-11-28,0.2961
1961-11-29,0.2941
1961-11-30,0.2959
1961-12-01,0.2961
1961-12-04,0.2962
1961-12-05,0.2987
1961-12-06,0.3
1961-12-07,0.3
1961-12-08,0.2986
1961-12-11,0.3025
1961-12-12,0.3009
1961-12-13,0.3025
1961-12-14,0.3007
1961-12-15,0.2998
1961-12-18,0.2975
1961-12-19,0.299
1961-12-20,0.3008
1961-12-21,0.301
1961-12-22,0.299
1961-12-26,0.3003
1961-12-27,0.3002
1961-12-28,0.3001
1961-12-29,0.3015
1962-01-02,0.3019
1962-01-03,0.3032
1962-01-04,0.3044
1962-01-05,0.3059
1962-01-08,0.3038
1962-01-09,0.3039
1962-01-10,0.303
1962-01-11,0.3027
1962-01-15,0.2995
1962-01-16,0.2988
1962-01-17,0.3
1962-01-18,0.302
1962-01-19,0.3025
1962-01-22,0.303
1962-01-23,0.3003
1962-01-24,0.3035
1962-01-25,0.3034
1962-01-26,0.3026
1962-01-29,0.3021
1962-01-30,0.303
1962-01-31,0.305
1962-02-01,0.3035
1962-02-02,0.3031
1962-02-05,0.3025
1962-02-06,0.3031
1962-02-07,0.3031
1962-02-08,0.3034
1962-02-09,0.3032
1962-02-12,0.303
1962-02-13,0.3038
1962-02-14,0.303
1962-02-15,0.3023
1962-02-16,0.3031
1962-02-19,0.3031
1962-02-20,0.304
1962-02-21,0.304
1962-02-23,0.3039
1962-02-26,0.3048
1962-02-27,0.3048
1962-02-28,0.3046
1962-03-01,0.3049
1962-03-02,0.306
1962-03-05,0.3067
1962-03-06,0.3056
1962-03-07,0.3056
1962-03-08,0.3054
1962-03-09,0.3059
1962-03-12,0.306
1962-03-13,0.3063
1962-03-14,0.3061
1962-03-15,0.3071
1962-03-16,0.3075
1962-03-19,0.3073
1962-03-20,0.3067
1962-03-21,0.3068
1962-03-22,0.3063
1962-03-23,0.304
1962-03-26,0.3028
1962-03-27,0.3035
1962-03-28,0.3032
1962-03-29,0.3032
1962-03-30,0.3034
1962-04-02,0.3031
1962-04-03,0.3031
1962-04-04,0.3006
1962-04-05,0.301
1962-04-06,0.3008
1962-04-09,0.3011
1962-04-10,0.2999
1962-04-11,0.2999
1962-04-12,0.2996
1962-04-13,0.2997
1962-04-16,0.2988
1962-04-17,0.299
1962-04-18,0.2984
1962-04-19,0.2968
1962-04-23,0.2976
1962-04-24,0.2958
1962-04-25,0.295
1962-04-26,0.2964
1962-04-27,0.2967
1962-04-30,0.2989
1962-05-01,0.2988
1962-05-02,0.2984
1962-05-03,0.2976
1962-05-04,0.297
1962-05-07,0.2974
1962-05-08,0.2981
1962-05-09,0.2994
1962-05-10,0.2989
1962-05-11,0.298
1962-05-14,0.2982
1962-05-15,0.2982
1962-05-16,0.297
1962-05-17,0.2971
1962-05-18,0.297
1962-05-21,0.2954
1962-05-22,0.2945
1962-05-23,0.2923
1962-05-24,0.2912
1962-05-25,0.2892
1962-05-28,0.288
1962-05-29,0.2881
1962-05-31,0.2882
1962-06-01,0.2876
1962-06-04,0.2866
1962-06-05,0.2866
1962-06-06,0.2875
1962-06-07,0.288
1962-06-08,0.2881
1962-06-11,0.2879
1962-06-12,0.2872
1962-06-13,0.2872
1962-06-14,0.2862
1962-06-15,0.287
1962-06-18,0.2874
1962-06-19,0.2862
1962-06-20,0.2862
1962-06-21,0.284
1962-06-22,0.2848
1962-06-25,0.2835
1962-06-26,0.2839
1962-06-27,0.2846
1962-06-28,0.2852
1962-06-29,0.285
1962-07-02,0.2859
1962-07-03,0.2865
1962-07-05,0.2864
1962-07-06,0.2878
1962-07-09,0.2879
1962-07-10,0.2854
1962-07-11,0.282
1962-07-12,0.2826
1962-07-13,0.2827
1962-07-16,0.2815
1962-07-17,0.2818
1962-07-18,0.2811
1962-07-19,0.2828
1962-07-20,0.2834
1962-07-23,0.2822
1962-07-24,0.284
1962-07-25,0.285
