Date,price
1959-07-01,1.1770
1959-07-02,1.1760
1959-07-06,1.1710
1959-07-07,1.1710
1959-07-08,1.1700
1959-07-09,1.1740
1959-07-10,1.1820
1959-07-13,1.1730
1959-07-14,1.1860
1959-07-15,1.1820
1959-07-16,1.1810
1959-07-17,1.1840
1959-07-20,1.1900
1959-07-21,1.1850
1959-07-22,1.1830
1959-07-23,1.1660
1959-07-24,1.1750
1959-07-27,1.1740
1959-07-28,1.1660
1959-07-29,1.1720
1959-07-30,1.1700
1959-07-31,1.1730
1959-08-03,1.1650
1959-08-04,1.1670
1959-08-05,1.1700
1959-08-06,1.1620
1959-08-07,1.1600
1959-08-10,1.1560
1959-08-11,1.1560
1959-08-12,1.1550
1959-08-13,1.1600
1959-08-14,1.1640
1959-08-17,1.1570
1959-08-18,1.1550
1959-08-19,1.1560
1959-08-20,1.1600
1959-08-21,1.1620
1959-08-24,1.1620
1959-08-25,1.1620
1959-08-26,1.1610
1959-08-27,1.1560
1959-08-28,1.1550
1959-08-31,1.1530
1959-09-01,1.1560
1959-09-02,1.1600
1959-09-03,1.1570
1959-09-04,1.1600
1959-09-08,1.1530
1959-09-09,1.1460
1959-09-10,1.1450
1959-09-11,1.1410
1959-09-14,1.1350
1959-09-15,1.1340
1959-09-16,1.1340
1959-09-17,1.1340
1959-09-18,1.1330
1959-09-21,1.1330
1959-09-22,1.1330
1959-09-23,1.1420
1959-09-24,1.1420
1959-09-25,1.1360
1959-09-28,1.1400
1959-09-29,1.1350
1959-09-30,1.1350
1959-10-01,1.1350
1959-10-02,1.1410
1959-10-05,1.1410
1959-10-06,1.1420
1959-10-07,1.1420
1959-10-08,1.1420
1959-10-09,1.1370
1959-10-12,1.1320
1959-10-13,1.1350
1959-10-14,1.1310
1959-10-15,1.1310
1959-10-16,1.1260
1959-10-19,1.1300
1959-10-20,1.1360
1959-10-21,1.1440
1959-10-22,1.1410
1959-10-23,1.1370
1959-10-26,1.1510
1959-10-27,1.1440
1959-10-28,1.1440
1959-10-29,1.1360
1959-10-30,1.1420
1959-11-02,1.1410
1959-11-03,1.1540
1959-11-04,1.1660
1959-11-05,1.1640
1959-11-06,1.1710
1959-11-09,1.1640
1959-11-10,1.1600
1959-11-11,1.1620
1959-11-12,1.1660
1959-11-13,1.1670
1959-11-16,1.1650
1959-11-17,1.1630
1959-11-18,1.1630
1959-11-19,1.1540
1959-11-20,1.1440
1959-11-23,1.1410
1959-11-24,1.1430
1959-11-25,1.1440
1959-11-27,1.1410
1959-11-30,1.1420
1959-12-01,1.1420
1959-12-02,1.1410
1959-12-03,1.1410
1959-12-04,1.1400
1959-12-07,1.1430
1959-12-08,1.1400
1959-12-09,1.1350
1959-12-10,1.1360
1959-12-11,1.1350
1959-12-14,1.1340
1959-12-15,1.1330
1959-12-16,1.1310
1959-12-17,1.1200
1959-12-18,1.1310
1959-12-21,1.1220
1959-12-22,1.1230
1959-12-23,1.1330
1959-12-24,1.1300
1959-12-28,1.1370
1959-12-29,1.1440
1959-12-30,1.1410
1959-12-31,1.1370
1960-01-04,1.1400
1960-01-05,1.1400
1960-01-06,1.1440
1960-01-07,1.1470
1960-01-08,1.1430
1960-01-11,1.1400
1960-01-12,1.1420
1960-01-13,1.1440
1960-01-14,1.1450
1960-01-15,1.1460
1960-01-18,1.1520
1960-01-19,1.1500
1960-01-20,1.1470
1960-01-21,1.1460
1960-01-22,1.1440
1960-01-25,1.1400
1960-01-26,1.1410
1960-01-27,1.1420
1960-01-28,1.1420
1960-01-29,1.1410
1960-02-01,1.1360
1960-02-02,1.1370
1960-02-03,1.1450
1960-02-04,1.1430
1960-02-05,1.1420
1960-02-08,1.1440
1960-02-09,1.1430
1960-02-10,1.1400
1960-02-11,1.1410
1960-02-12,1.1360
1960-02-15,1.1330
1960-02-16,1.1270
1960-02-17,1.1300
1960-02-18,1.1260
1960-02-19,1.1200
1960-02-23,1.1140
1960-02-24,1.1226
1960-02-25,1.1366
1960-02-26,1.1422
1960-02-29,1.1550
1960-03-01,1.1670
1960-03-02,1.1660
1960-03-03,1.1720
1960-03-04,1.1660
1960-03-07,1.1670
1960-03-08,1.1700
1960-03-09,1.1720
1960-03-10,1.1670
1960-03-11,1.1640
1960-03-14,1.1660
1960-03-15,1.1640
1960-03-16,1.1670
1960-03-17,1.1650
1960-03-18,1.1640
1960-03-21,1.1610
1960-03-22,1.1620
1960-03-23,1.1660
1960-03-24,1.1720
1960-03-25,1.1740
1960-03-28,1.1760
1960-03-29,1.1820
1960-03-30,1.1900
1960-03-31,1.1920
1960-04-01,1.1920
1960-04-04,1.1850
1960-04-05,1.1800
1960-04-06,1.1810
1960-04-07,1.1840
1960-04-08,1.1830
1960-04-11,1.1830
1960-04-12,1.1870
1960-04-13,1.1910
1960-04-14,1.1910
1960-04-18,1.1910
1960-04-19,1.1840
1960-04-20,1.1850
1960-04-21,1.1900
1960-04-22,1.1920
1960-04-25,1.1920
1960-04-26,1.1920
1960-04-27,1.1916
1960-04-28,1.1992
1960-04-29,1.2050
1960-05-02,1.2050
1960-05-03,1.2050
1960-05-04,1.2000
1960-05-05,1.2020
1960-05-06,1.2060
1960-05-09,1.2020
1960-05-10,1.2030
1960-05-11,1.2010
1960-05-12,1.2070
1960-05-13,1.2040
1960-05-16,1.2110
1960-05-17,1.2110
1960-05-18,1.2070
1960-05-19,1.2130
1960-05-20,1.2170
1960-05-23,1.2130
1960-05-24,1.2110
1960-05-25,1.2140
1960-05-26,1.2140
1960-05-27,1.2150
1960-05-31,1.2130
1960-06-01,1.2100
1960-06-02,1.2040
1960-06-03,1.2010
1960-06-06,1.2010
1960-06-07,1.1960
1960-06-08,1.1920
1960-06-09,1.1920
1960-06-10,1.1840
1960-06-13,1.1850
1960-06-14,1.1860
1960-06-15,1.1850
1960-06-16,1.1870
1960-06-17,1.1810
1960-06-20,1.1730
1960-06-21,1.1670
1960-06-22,1.1570
1960-06-23,1.1610
1960-06-24,1.1600
1960-06-27,1.1582
1960-06-28,1.1584
1960-06-29,1.1560
1960-06-30,1.1590
1960-07-01,1.1670
1960-07-05,1.1740
1960-07-06,1.1750
1960-07-07,1.1730
1960-07-08,1.1730
1960-07-11,1.1720
1960-07-12,1.1660
1960-07-13,1.1650
1960-07-14,1.1650
1960-07-15,1.1630
1960-07-18,1.1610
1960-07-19,1.1630
1960-07-20,1.1540
1960-07-21,1.1670
1960-07-22,1.1660
1960-07-25,1.1630
1960-07-26,1.1640
1960-07-27,1.1670
1960-07-28,1.1650
1960-07-29,1.1610
1960-08-01,1.1630
1960-08-02,1.1630
1960-08-03,1.1570
1960-08-04,1.1630
1960-08-05,1.1600
1960-08-08,1.1510
1960-08-09,1.1470
1960-08-10,1.1510
1960-08-11,1.1470
1960-08-12,1.1470
1960-08-15,1.1510
1960-08-16,1.1540
1960-08-17,1.1630
1960-08-18,1.1610
1960-08-19,1.1540
1960-08-22,1.1520
1960-08-23,1.1560
1960-08-24,1.1570
1960-08-25,1.1560
1960-08-26,1.1480
1960-08-29,1.1336
1960-08-30,1.1198
1960-08-31,1.1084
1960-09-01,1.1050
1960-09-02,1.1040
1960-09-06,1.1020
1960-09-07,1.1020
1960-09-08,1.1030
1960-09-09,1.1020
1960-09-12,1.1000
1960-09-13,1.1000
1960-09-14,1.0950
1960-09-15,1.0940
1960-09-16,1.0920
1960-09-19,1.0920
1960-09-20,1.0930
1960-09-21,1.0910
1960-09-22,1.0910
1960-09-23,1.0930
1960-09-26,1.0870
1960-09-27,1.0860
1960-09-28,1.0910
1960-09-29,1.0900
1960-09-30,1.0920
1960-10-03,1.0900
1960-10-04,1.0870
1960-10-05,1.0860
1960-10-06,1.0850
1960-10-07,1.0840
