Date,price
1969-01-02,237.50
1969-01-03,237.60
1969-01-06,237.00
1969-01-07,235.00
1969-01-08,236.10
1969-01-09,234.80
1969-01-10,235.00
1969-01-13,235.50
1969-01-14,236.10
1969-01-15,237.00
1969-01-16,237.50
1969-01-17,235.60
1969-01-20,236.80
1969-01-21,238.00
1969-01-22,237.10
1969-01-23,235.50
1969-01-24,237.30
1969-01-27,237.00
1969-01-28,237.00
1969-01-29,237.50
1969-01-30,237.00
1969-01-31,235.70
1969-02-03,234.50
1969-02-04,235.20
1969-02-05,233.60
1969-02-06,233.00
1969-02-07,230.50
1969-02-11,223.50
1969-02-12,224.50
1969-02-13,222.50
1969-02-14,221.70
1969-02-17,223.70
1969-02-18,220.50
1969-02-19,226.00
1969-02-20,226.00
1969-02-24,227.50
1969-02-25,228.00
1969-02-26,227.00
1969-02-27,227.20
1969-02-28,225.50
1969-03-03,226.50
1969-03-04,228.50
1969-03-05,227.50
1969-03-06,229.50
1969-03-07,230.50
1969-03-10,230.00
1969-03-11,226.50
1969-03-12,227.50
1969-03-13,228.00
1969-03-14,226.50
1969-03-17,225.00
1969-03-18,222.60
1969-03-19,223.50
1969-03-20,223.00
1969-03-21,223.50
1969-03-24,221.00
1969-03-25,220.00
1969-03-26,219.00
1969-03-27,220.00
1969-03-28,216.50
1969-04-01,210.00
1969-04-02,207.00
1969-04-03,207.30
1969-04-07,202.00
1969-04-08,195.10
1969-04-09,198.20
1969-04-10,199.50
1969-04-11,198.00
1969-04-14,194.00
1969-04-15,192.00
1969-04-16,182.50
1969-04-17,175.00
1969-04-18,176.00
1969-04-21,177.00
1969-04-22,174.00
1969-04-23,182.50
1969-04-24,187.00
1969-04-25,184.50
1969-04-28,187.00
1969-04-29,185.00
1969-04-30,181.50
1969-05-01,181.00
1969-05-02,183.00
1969-05-05,182.00
1969-05-06,181.50
1969-05-07,187.00
1969-05-08,188.00
1969-05-09,186.00
1969-05-12,181.00
1969-05-13,176.00
1969-05-14,177.00
1969-05-15,181.00
1969-05-16,180.00
