date, value
1960-10-26,0.0914
1960-10-27,0.0911
1960-10-28,0.0915
1960-10-31,0.0926
1960-11-01,0.092
1960-11-02,0.092
1960-11-03,0.092
1960-11-04,0.0918
1960-11-07,0.0918
1960-11-09,0.0924
1960-11-10,0.0915
1960-11-11,0.0916
1960-11-14,0.0898
1960-11-15,0.09
1960-11-16,0.0901
1960-11-17,0.0912
1960-11-18,0.0906
1960-11-21,0.0899
1960-11-22,0.0898
1960-11-23,0.0906
1960-11-25,0.0906
1960-11-28,0.0901
1960-11-29,0.0885
1960-11-30,0.089
1960-12-01,0.0888
1960-12-02,0.0891
1960-12-05,0.0893
1960-12-06,0.0896
1960-12-07,0.0901
1960-12-08,0.0902
1960-12-09,0.0903
1960-12-12,0.091
1960-12-13,0.09
1960-12-14,0.0898
1960-12-15,0.0896
1960-12-16,0.0901
1960-12-19,0.0905
1960-12-20,0.0899
1960-12-21,0.0909
1960-12-22,0.091
1960-12-23,0.0916
1960-12-27,0.0912
1960-12-28,0.0918
1960-12-29,0.0928
1960-12-30,0.0932
1961-01-03,0.0946
1961-01-04,0.0944
1961-01-05,0.0954
1961-01-06,0.0988
1961-01-09,0.1004
1961-01-10,0.0997
1961-01-11,0.0998
1961-01-12,0.1003
1961-01-13,0.1017
1961-01-16,0.1053
1961-01-17,0.1063
1961-01-18,0.1045
1961-01-19,0.1039
1961-01-20,0.1025
1961-01-23,0.1038
1961-01-24,0.1055
1961-01-25,0.1051
1961-01-26,0.107
1961-01-27,0.1068
1961-01-30,0.1095
1961-01-31,0.1067
1961-02-01,0.1098
1961-02-02,0.1103
1961-02-03,0.1122
1961-02-06,0.115
1961-02-07,0.1126
1961-02-08,0.1154
1961-02-09,0.116
1961-02-10,0.1167
1961-02-13,0.1172
1961-02-14,0.118
1961-02-15,0.118
1961-02-16,0.1186
1961-02-17,0.1168
1961-02-20,0.1153
1961-02-21,0.1161
1961-02-23,0.1195
1961-02-24,0.12
1961-02-27,0.1224
1961-02-28,0.122
1961-03-01,0.116
1961-03-02,0.117
1961-03-03,0.1184
1961-03-06,0.119
1961-03-07,0.1174
1961-03-08,0.117
1961-03-09,0.1145
1961-03-10,0.1157
1961-03-13,0.1117
1961-03-14,0.1142
1961-03-15,0.1121
1961-03-16,0.1133
1961-03-17,0.113
1961-03-20,0.112
1961-03-21,0.1122
1961-03-22,0.114
1961-03-23,0.1162
1961-03-24,0.1161
1961-03-27,0.1157
1961-03-28,0.1163
1961-03-29,0.114
1961-03-30,0.1151
1961-04-03,0.115
1961-04-04,0.1161
1961-04-05,0.1181
1961-04-06,0.119
1961-04-07,0.1178
1961-04-10,0.1205
1961-04-11,0.126
1961-04-12,0.1237
1961-04-13,0.123
1961-04-14,0.1228
1961-04-17,0.1181
1961-04-18,0.1228
1961-04-19,0.1241
1961-04-20,0.123
1961-04-21,0.1237
1961-04-24,0.1238
1961-04-25,0.1278
1961-04-26,0.1244
1961-04-27,0.1242
1961-04-28,0.1247
1961-05-01,0.1246
1961-05-02,0.1242
1961-05-03,0.123
1961-05-04,0.1218
1961-05-05,0.1206
1961-05-08,0.1197
1961-05-09,0.1173
1961-05-10,0.1192
1961-05-11,0.119
1961-05-12,0.12
1961-05-15,0.1186
1961-05-16,0.1182
1961-05-17,0.1193
1961-05-18,0.1193
1961-05-19,0.1185
1961-05-22,0.115
1961-05-23,0.1157
1961-05-24,0.1153
1961-05-25,0.1155
1961-05-26,0.113
1961-05-29,0.1138
1961-05-31,0.1162
1961-06-01,0.1159
1961-06-02,0.116
1961-06-05,0.1169
1961-06-06,0.115
1961-06-07,0.1157
1961-06-08,0.1157
1961-06-09,0.1132
1961-06-12,0.1092
1961-06-13,0.1092
1961-06-14,0.1112
1961-06-15,0.1074
1961-06-16,0.108
1961-06-19,0.1073
1961-06-20,0.1067
1961-06-21,0.1059
1961-06-22,0.107
1961-06-23,0.1084
1961-06-26,0.1058
1961-06-27,0.1061
1961-06-28,0.1067
1961-06-29,0.108
1961-06-30,0.1095
1961-07-03,0.1127
1961-07-05,0.1127
1961-07-06,0.111
1961-07-07,0.1092
1961-07-10,0.1083
1961-07-11,0.1086
1961-07-12,0.1071
1961-07-13,0.1074
1961-07-14,0.1042
1961-07-17,0.1034
1961-07-18,0.1048
1961-07-19,0.1056
1961-07-20,0.1038
1961-07-21,0.1052
1961-07-24,0.1062
1961-07-25,0.1093
1961-07-26,0.1085
1961-07-27,0.1089
1961-07-28,0.1088
1961-07-31,0.1089
1961-08-01,0.1075
1961-08-02,0.1085
1961-08-03,0.1078
1961-08-04,0.1083
1961-08-07,0.108
1961-08-08,0.1076
1961-08-09,0.1072
1961-08-10,0.1081
1961-08-11,0.1078
1961-08-14,0.1084
1961-08-15,0.1102
1961-08-16,0.109
1961-08-17,0.1102
1961-08-18,0.1102
1961-08-21,0.1087
1961-08-22,0.1074
1961-08-23,0.1085
1961-08-24,0.1082
1961-08-25,0.1082
1961-08-28,0.1074
1961-08-29,0.1069
1961-08-30,0.107
1961-08-31,0.1066
1961-09-01,0.1059
1961-09-05,0.1055
1961-09-06,0.1049
1961-09-07,0.1042
1961-09-08,0.1046
1961-09-11,0.1053
1961-09-12,0.1061
1961-09-13,0.1053
1961-09-14,0.1043
1961-09-15,0.1041
1961-09-18,0.1034
1961-09-19,0.1036
1961-09-20,0.1041
1961-09-21,0.1048
1961-09-22,0.1048
1961-09-25,0.1048
1961-09-26,0.1043
1961-09-27,0.1053
1961-09-28,0.1054
1961-09-29,0.1058
1961-10-02,0.1066
1961-10-03,0.1088
1961-10-04,0.1095
1961-10-05,0.1091
1961-10-06,0.108
1961-10-09,0.1086
1961-10-10,0.1092
1961-10-11,0.1085
1961-10-12,0.1075
1961-10-13,0.1094
1961-10-16,0.1083
1961-10-17,0.1074
1961-10-18,0.1077
1961-10-19,0.1068
1961-10-20,0.1066
1961-10-23,0.1066
1961-10-24,0.1055
1961-10-25,0.1055
1961-10-26,0.1044
1961-10-27,0.1043
1961-10-30,0.1041
1961-10-31,0.1041
1961-11-01,0.1041
1961-11-02,0.1037
1961-11-03,0.104
1961-11-06,0.1047
1961-11-07,0.105
1961-11-08,0.1043
1961-11-09,0.1038
1961-11-10,0.1057
1961-11-13,0.1049
1961-11-14,0.1041
1961-11-15,0.1038
1961-11-16,0.1037
1961-11-17,0.1037
1961-11-20,0.1031
1961-11-21,0.1043
1961-11-22,0.1038
1961-11-24,0.1041
1961-11-27,0.1036
1961-11-28,0.1036
1961-11-29,0.1035
1961-11-30,0.1043
1961-12-01,0.1039
1961-12-04,0.1042
1961-12-05,0.1042
1961-12-06,0.1049
1961-12-07,0.1043
1961-12-08,0.1049
1961-12-11,0.1051
1961-12-12,0.1066
1961-12-13,0.106
1961-12-14,0.1065
1961-12-15,0.1081
1961-12-18,0.1072
1961-12-19,0.1067
1961-12-20,0.1065
1961-12-21,0.1065
1961-12-22,0.1062
1961-12-26,0.106
1961-12-27,0.1056
1961-12-28,0.1061
1961-12-29,0.1061
1962-01-02,0.1064
1962-01-03,0.1066
1962-01-04,0.106
1962-01-05,0.1066
1962-01-08,0.1066
1962-01-09,0.1073
1962-01-10,0.107
1962-01-11,0.1074
1962-01-12,0.1089
1962-01-15,0.1086
1962-01-16,0.1071
1962-01-17,0.1076
1962-01-18,0.1072
1962-01-19,0.1072
1962-01-22,0.1064
1962-01-23,0.1067
1962-01-24,0.1066
1962-01-25,0.1062
1962-01-26,0.1054
1962-01-29,0.104
1962-01-30,0.1036
1962-01-31,0.104
1962-02-01,0.1037
1962-02-02,0.1049
1962-02-05,0.1049
1962-02-06,0.1043
1962-02-07,0.1043
1962-02-08,0.1037
1962-02-09,0.1034
1962-02-12,0.1035
1962-02-13,0.1039
1962-02-14,0.1043
1962-02-15,0.1038
1962-02-16,0.1028
1962-02-19,0.1021
1962-02-20,0.1021
1962-02-21,0.1013
1962-02-23,0.1017
1962-02-26,0.1019
1962-02-27,0.1012
1962-02-28,0.1013
1962-03-01,0.1022
1962-03-02,0.1029
1962-03-05,0.103
1962-03-06,0.1027
1962-03-07,0.1033
1962-03-08,0.1036
1962-03-09,0.1035
1962-03-12,0.1023
1962-03-13,0.1021
1962-03-14,0.102
1962-03-15,0.1019
1962-03-16,0.1019
1962-03-19,0.1016
1962-03-20,0.1014
1962-03-21,0.1022
1962-03-22,0.102
1962-03-23,0.1024
1962-03-26,0.1028
1962-03-27,0.1025
1962-03-28,0.1023
1962-03-29,0.1012
1962-03-30,0.101
1962-04-02,0.1012
1962-04-03,0.1011
1962-04-04,0.1013
1962-04-05,0.102
1962-04-06,0.1018
1962-04-09,0.1019
1962-04-10,0.1018
1962-04-11,0.1014
1962-04-12,0.1013
1962-04-13,0.1003
1962-04-16,0.1
1962-04-17,0.0996
1962-04-18,0.0987
1962-04-19,0.0985
1962-04-23,0.0971
1962-04-24,0.0969
