Date,Open,High,Low,Close,Adj Close,Volume
1996-04-01,13.5,13.5625,13.5,13.5625,6.836065,3100
1996-04-02,13.625,13.875,13.625,13.875,6.993576,16600
1996-04-03,13.6875,13.875,13.6875,13.8125,6.962073,33000
1996-04-04,13.6875,13.75,13.5625,13.5625,6.836065,26500
1996-04-08,13.625,13.625,13.4375,13.4375,6.773057,1500
1996-04-09,13.5,13.625,13.5,13.625,6.867567,1100
1996-04-10,13.625,13.625,13.5,13.5,6.804559,15300
1996-04-11,13.375,13.5,13.375,13.5,6.804559,9100
1996-04-12,13.4375,13.5,13.4375,13.5,6.804559,1500
1996-04-15,13.5,13.5625,13.5,13.5625,6.836065,18700
1996-04-16,13.625,13.625,13.625,13.625,6.867567,1300
1996-04-17,13.5,13.625,13.4375,13.4375,6.773057,17200
1996-04-18,13.4375,13.4375,13.3125,13.3125,6.710052,2300
1996-04-19,13.3125,13.375,13.3125,13.375,6.741555,3600
1996-04-22,13.375,13.5625,13.375,13.5625,6.836065,20000
1996-04-23,13.375,13.4375,13.3125,13.375,6.741555,35900
1996-04-24,13.375,13.375,13.375,13.375,6.741555,0
1996-04-25,13.3125,13.3125,13.25,13.25,6.67855,6300
1996-04-26,13.125,13.3125,13.125,13.3125,6.710052,30300
1996-04-29,13.3125,13.3125,13.3125,13.3125,6.710052,400
1996-04-30,13.5625,13.625,13.5,13.625,6.867567,7200
1996-05-01,13.5625,13.5625,13.5,13.5,6.804559,700
1996-05-02,13.5,13.5,13.1875,13.1875,6.647048,29500
1996-05-03,13.25,13.375,13.25,13.3125,6.710052,72400
1996-05-06,13.125,13.25,13.125,13.25,6.67855,5100
1996-05-07,13.3125,13.375,13.25,13.375,6.741555,18900
1996-05-08,13.4375,13.4375,13.25,13.4375,6.773057,7400
1996-05-09,13.4375,13.5,13.4375,13.5,6.804559,6800
1996-05-10,13.5,13.5625,13.5,13.5625,6.836065,3000
1996-05-13,13.5,13.5625,13.4375,13.4375,6.773057,5200
1996-05-14,13.4375,13.625,13.4375,13.625,6.867567,83500
1996-05-15,13.6875,13.6875,13.4375,13.4375,6.773057,4600
1996-05-16,13.4375,13.5625,13.4375,13.5625,6.836065,2300
1996-05-17,13.625,13.625,13.625,13.625,6.867567,5700
1996-05-20,13.75,13.75,13.6875,13.6875,6.899067,6500
1996-05-21,13.75,13.9375,13.75,13.875,6.993576,3800
1996-05-22,14,14,13.625,13.625,6.867567,76700
1996-05-23,13.8125,13.8125,13.625,13.75,6.93057,5400
1996-05-24,13.8125,13.8125,13.75,13.8125,6.962073,8700
1996-05-28,13.875,13.875,13.8125,13.875,6.993576,6400
1996-05-29,13.9375,13.9375,13.875,13.9375,7.025078,6800
1996-05-30,13.9375,13.9375,13.8125,13.875,6.993576,4100
1996-05-31,13.9375,13.9375,13.8125,13.875,6.993576,13200
1996-06-03,13.875,13.875,13.5625,13.5625,6.836065,700
1996-06-04,13.625,13.75,13.625,13.75,6.93057,3600
1996-06-05,13.8125,13.8125,13.75,13.75,6.93057,1700
1996-06-06,14,14,13.9375,13.9375,7.025078,1600
1996-06-07,13.625,13.875,13.625,13.875,6.993576,1100
1996-06-10,13.875,13.875,13.875,13.875,6.993576,4000
1996-06-11,13.8125,13.8125,13.6875,13.6875,6.899067,8100
1996-06-12,13.5,13.5625,13.5,13.5625,6.836065,3200
1996-06-13,13.3125,13.3125,13.3125,13.3125,6.710052,2100
1996-06-14,13.3125,13.5,13.3125,13.5,6.804559,2700
1996-06-17,13.5625,13.5625,13.375,13.375,6.741555,9200
1996-06-18,13.625,13.625,13.625,13.625,6.867567,200
1996-06-19,13.4375,13.625,13.4375,13.625,6.867567,2500
1996-06-20,13.5625,13.5625,13.5625,13.5625,6.836065,300
1996-06-21,13.5625,13.5625,13.5625,13.5625,6.836065,4300
1996-06-24,13.6875,13.6875,13.6875,13.6875,6.899067,7600
1996-06-25,13.625,13.625,13.625,13.625,6.867567,100
1996-06-26,13.75,13.75,13.6875,13.6875,6.899067,400
1996-06-27,13.5625,13.6875,13.5625,13.6875,6.899067,3000
1996-06-28,13.6875,13.6875,13.6875,13.6875,6.899067,14000
1996-07-01,13.5625,13.6875,13.5625,13.6875,6.899067,1400
1996-07-02,13.6875,13.6875,13.5,13.5,6.804559,32900
1996-07-03,13.4375,13.5,13.4375,13.5,6.804559,2600
1996-07-05,13.4375,13.5,13.4375,13.4375,6.773057,4800
1996-07-08,13.5,13.5,13.4375,13.4375,6.773057,5600
1996-07-09,13.375,13.375,13.375,13.375,6.741555,11500
1996-07-10,13.5,13.5,13.25,13.3125,6.710052,8600
1996-07-11,13.4375,13.4375,13.0625,13.125,6.615545,13900
1996-07-12,13,13.1875,13,13.1875,6.647048,1300
1996-07-15,13.0625,13.0625,13,13,6.552537,11900
1996-07-16,12.9375,12.9375,12.625,12.75,6.426528,2700
1996-07-17,12.8125,12.9375,12.8125,12.9375,6.521038,54400
1996-07-18,13.125,13.25,13.125,13.125,6.615545,9400
1996-07-19,13.25,13.25,13.25,13.25,6.67855,4000
1996-07-22,13,13.1875,13,13.1875,6.647048,1300
1996-07-23,13.125,13.125,13.125,13.125,6.615545,1800
1996-07-24,12.9375,13.0625,12.875,12.875,6.489534,63100
1996-07-25,13,13,12.9375,12.9375,6.521038,300
1996-07-26,12.875,12.875,12.8125,12.8125,6.458032,300
1996-07-29,12.75,12.75,12.75,12.75,6.426528,15100
1996-07-30,12.6875,12.75,12.6875,12.75,6.426528,8500
1996-07-31,12.9375,13,12.75,13,6.552537,7300
1996-08-01,13.125,13.125,13.125,13.125,6.615545,1000
1996-08-02,13.3125,13.4375,13.3125,13.4375,6.773057,12000
1996-08-05,13.375,13.375,13.25,13.25,6.67855,11200
1996-08-06,13.375,13.375,13.375,13.375,6.741555,100
1996-08-07,13.375,13.375,13.375,13.375,6.741555,0
1996-08-08,13.25,13.25,13.25,13.25,6.67855,300
1996-08-09,13.25,13.25,13.25,13.25,6.67855,0
