Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,23.312500,23.390619,23.187500,23.265619,15.758498,15200
1998-12-23,23.343750,23.750000,23.312500,23.750000,16.086588,67800
1998-12-24,23.812500,23.812500,23.593750,23.625000,16.001926,12300
1998-12-28,23.750000,23.750000,23.343750,23.500000,15.917253,13500
1998-12-29,23.562500,23.734381,23.343750,23.734381,16.076014,22000
1998-12-30,23.718750,23.718750,23.359381,23.375000,15.832596,21800
1998-12-31,23.343750,23.343750,23.218750,23.343750,15.811434,13000
1999-01-04,23.281250,23.750000,23.281250,23.328119,15.800838,28600
1999-01-05,23.468750,23.468750,23.171881,23.203119,15.716173,42700
1999-01-06,23.468750,24.000000,23.312500,23.968750,16.234766,56400
1999-01-07,23.968750,23.984381,23.578119,23.859381,16.160675,72600
1999-01-08,24.000000,24.562500,23.375000,23.968750,16.234766,421100
1999-01-11,23.750000,23.781250,23.437500,23.515619,15.927836,35000
1999-01-12,23.500000,23.593750,23.125000,23.156250,15.684430,89200
1999-01-13,22.750000,23.187500,22.687500,22.812500,15.451595,42400
1999-01-14,22.750000,22.875000,22.375000,22.375000,15.155271,70000
1999-01-15,22.562500,22.750000,22.453119,22.718750,15.388098,10700
1999-01-19,22.812500,22.812500,22.531250,22.718750,15.388098,12800
1999-01-20,22.593750,22.812500,22.515619,22.531250,15.261099,15800
1999-01-21,22.531250,22.906250,22.500000,22.718750,15.388098,23900
1999-01-22,22.750000,22.812500,22.562500,22.593750,15.303435,19300
1999-01-25,22.687500,22.687500,22.375000,22.562500,15.282264,18200
1999-01-26,22.593750,22.593750,22.156250,22.343750,15.134094,25700
1999-01-27,22.375000,22.375000,21.875000,21.937500,14.858938,37100
1999-01-28,22.000000,22.000000,21.625000,21.812500,14.774267,30800
1999-01-29,21.687500,21.812500,21.437500,21.812500,14.774267,18600
1999-02-01,21.812500,21.875000,21.593750,21.593750,14.626100,23100
1999-02-02,21.625000,21.812500,21.531250,21.625000,14.647259,26500
1999-02-03,21.750000,22.250000,21.750000,22.125000,14.985929,29400
1999-02-04,22.125000,22.312500,22.062500,22.250000,15.070602,26000
1999-02-05,22.312500,22.937500,22.187500,22.875000,15.493927,66000
1999-02-08,22.968750,23.187500,22.937500,23.187500,15.705596,31100
1999-02-09,23.218750,23.218750,22.750000,22.750000,15.409271,64300
1999-02-10,22.843750,23.062500,22.687500,22.812500,15.451595,69300
1999-02-11,22.718750,22.718750,22.281250,22.625000,15.324597,216800
1999-02-12,22.375000,22.625000,22.156250,22.156250,15.007102,242300
1999-02-16,22.328119,22.437500,21.781250,22.000000,14.901264,36600
1999-02-17,21.875000,22.093750,21.750000,21.781250,14.753096,41700
1999-02-18,21.750000,21.968750,21.531250,21.843750,14.795431,83000
1999-02-19,21.937500,21.968750,21.531250,21.718750,14.710770,130300
1999-02-22,21.875000,22.000000,21.687500,21.937500,14.858938,79500
1999-02-23,22.000000,22.093750,21.750000,21.750000,14.731932,309600
1999-02-24,21.812500,22.093750,21.656250,21.656250,14.668429,34500
1999-02-25,21.640619,21.906250,21.625000,21.765619,14.742514,44600
1999-02-26,21.843750,22.000000,21.625000,21.625000,14.647259,24900
1999-03-01,21.671881,21.687500,21.343750,21.406250,14.499091,13300
1999-03-02,21.437500,21.531250,21.093750,21.187500,14.350938,55100
1999-03-03,21.375000,21.750000,21.218750,21.656250,14.668429,103300
1999-03-04,21.843750,22.562500,21.843750,22.437500,15.197593,90400
1999-03-05,23.000000,23.031250,22.625000,22.859381,15.483352,92700
1999-03-08,22.984381,23.250000,22.890619,23.187500,15.705596,107600
1999-03-09,22.937500,23.312500,22.843750,22.937500,15.536259,79000
1999-03-10,23.031250,24.312500,23.031250,24.250000,16.425257,1733800
1999-03-11,25.000000,25.250000,24.250000,24.593750,16.658096,909000
1999-03-12,24.875000,25.062500,24.250000,24.500000,16.594595,604300
1999-03-15,24.562500,24.625000,24.015619,24.312500,16.467587,523000
1999-03-16,24.093750,24.312500,24.000000,24.187500,16.382921,273300
1999-03-17,24.312500,24.843750,24.250000,24.812500,16.806250,362800
1999-03-18,25.250000,25.312500,24.937500,25.125000,17.017918,332600
1999-03-19,25.250000,25.281250,24.625000,24.781250,16.845432,260400
1999-03-22,25.000000,25.125000,24.734381,24.937500,16.951647,165000
1999-03-23,24.750000,24.750000,24.250000,24.500000,16.654247,137900
1999-03-24,24.625000,24.718750,24.156250,24.375000,16.569277,61100
1999-03-25,24.312500,24.562500,24.062500,24.437500,16.611761,166500
1999-03-26,24.687500,24.875000,24.468750,24.750000,16.824190,44700
1999-03-29,25.375000,25.687500,25.343750,25.437500,17.291525,84400
1999-03-30,25.281250,25.312500,24.906250,24.968750,16.972893,60800
1999-03-31,25.156250,25.187500,24.593750,24.593750,16.717981,67000
1999-04-01,24.625000,24.656250,24.296881,24.562500,16.696735,22000
1999-04-05,24.562500,25.250000,24.562500,25.156250,17.100344,58400
1999-04-06,25.093750,25.125000,24.718750,24.906250,16.930399,42600
1999-04-07,24.875000,24.906250,24.468750,24.656250,16.760468,836400
1999-04-08,24.765619,25.187500,24.671881,24.906250,16.930399,852300
