DATE,DEXUSNZ,DEXUSUK,DEXUSAL,DEXUSEU
1971-01-04,1.1138,2.3938,1.1127,
1971-01-05,1.1143,2.3949,1.1132,
1971-01-06,1.1151,2.3967,1.114,
1971-01-07,1.115,2.3963,1.1138,
1971-01-08,1.1154,2.3972,1.1124,
1971-01-11,1.1163,2.3992,1.1152,
1971-01-12,1.1167,2.4001,1.1156,
1971-01-13,1.1177,2.4021,1.1165,
1971-01-14,1.12,2.4071,1.1189,
1971-01-15,1.1193,2.4057,1.1182,
1971-01-18,1.1191,2.4052,1.1179,
1971-01-19,1.1205,2.4081,1.1193,
1971-01-20,1.1204,2.408,1.1193,
1971-01-21,1.121,2.4092,1.1198,
1971-01-22,1.1215,2.4103,1.1204,
1971-01-25,1.1236,2.4147,1.1224,
1971-01-26,1.1241,2.416,1.123,
1971-01-27,1.1242,2.4161,1.123,
1971-01-28,1.1246,2.4169,1.1234,
1971-01-29,1.1248,2.4174,1.1236,
1971-02-01,1.1253,2.4184,1.1241,
1971-02-02,1.1251,2.4181,1.124,
1971-02-03,1.1253,2.4184,1.1241,
1971-02-04,1.1245,2.4167,1.1233,
1971-02-05,1.1235,2.4147,1.1224,
1971-02-08,1.1252,2.4182,1.124,
1971-02-09,1.1237,2.4151,1.1226,
1971-02-10,1.1241,2.4159,1.1229,
1971-02-11,1.124,2.4158,1.1229,
1971-02-12,,,,
1971-02-15,,,,
1971-02-16,1.1257,2.4193,1.1245,
1971-02-17,1.1257,2.4193,1.1245,
1971-02-18,1.1256,2.4191,1.1244,
1971-02-19,1.1255,2.419,1.1244,
1971-02-22,1.1256,2.4192,1.1245,
1971-02-23,1.1257,2.4193,1.1245,
1971-02-24,1.1257,2.4193,1.1245,
1971-02-25,1.1249,2.4177,1.1238,
1971-02-26,1.1241,2.416,1.123,
1971-03-01,1.1242,2.4162,1.1231,
1971-03-02,1.1253,2.4184,1.1241,
1971-03-03,1.1257,2.4193,1.1245,
1971-03-04,1.125,2.4179,1.1239,
1971-03-05,1.1252,2.4183,1.1241,
1971-03-08,1.1256,2.4192,1.1245,
1971-03-09,1.1256,2.4188,1.1244,
1971-03-10,1.1256,2.4192,1.1245,
1971-03-11,1.1254,2.4188,1.1243,
1971-03-12,1.1257,2.4193,1.1245,
1971-03-15,1.1257,2.4193,1.1245,
1971-03-16,1.1252,2.4183,1.1241,
1971-03-17,1.1257,2.4194,1.1246,
1971-03-18,1.1255,2.419,1.1244,
1971-03-19,1.1255,2.419,1.1244,
1971-03-22,1.1257,2.4193,1.1245,
1971-03-23,1.1257,2.4193,1.1245,
1971-03-24,1.1257,2.4194,1.1246,
1971-03-25,1.1253,2.4185,1.1241,
1971-03-26,1.1254,2.4188,1.1243,
1971-03-29,1.1257,2.4194,1.1246,
1971-03-30,1.1251,2.4181,1.124,
1971-03-31,1.1245,2.4168,1.1234,
1971-04-01,1.1235,2.4147,1.1224,
1971-04-02,1.1225,2.4125,1.1213,
1971-04-05,1.1242,2.4161,1.123,
1971-04-06,1.1255,2.4189,1.1243,
1971-04-07,1.1246,2.417,1.1234,
1971-04-08,1.1245,2.4167,1.1233,
1971-04-09,1.1245,2.4167,1.1233,
1971-04-12,1.1246,2.4169,1.1234,
1971-04-13,1.1245,2.4167,1.1233,
1971-04-14,1.125,2.418,1.1239,
1971-04-15,1.1254,2.4187,1.1242,
1971-04-16,1.1253,2.4186,1.1242,
1971-04-19,1.1256,2.4193,1.1245,
1971-04-20,1.1257,2.4193,1.1245,
1971-04-21,1.1258,2.4196,1.1246,
1971-04-22,1.1254,2.4187,1.1242,
1971-04-23,1.1255,2.4189,1.1243,
1971-04-26,1.1254,2.4188,1.1243,
1971-04-27,1.1255,2.419,1.1244,
1971-04-28,1.1258,2.4195,1.1246,
1971-04-29,1.1256,2.4192,1.1245,
1971-04-30,1.1257,2.4193,1.1245,
1971-05-03,1.1255,2.4189,1.1243,
1971-05-04,1.1253,2.4185,1.1242,
1971-05-05,1.1257,2.4194,1.1246,
1971-05-06,1.1253,2.4185,1.1242,
1971-05-07,1.1255,2.4188,1.1243,
1971-05-10,1.1248,2.4173,1.1236,
1971-05-11,1.1246,2.417,1.1235,
1971-05-12,1.1252,2.4183,1.124,
1971-05-13,1.1252,2.4183,1.124,
1971-05-14,1.1253,2.4186,1.1242,
1971-05-17,1.1256,2.4193,1.1245,
1971-05-18,1.1255,2.419,1.1244,
1971-05-19,1.1257,2.4194,1.1246,
1971-05-20,1.1256,2.4193,1.1245,
1971-05-21,1.1257,2.4194,1.1246,
1971-05-24,1.1257,2.4194,1.1246,
1971-05-25,1.1255,2.419,1.1244,
1971-05-26,1.1257,2.4194,1.1246,
1971-05-27,1.1254,2.4187,1.1243,
1971-05-28,1.125,2.4178,1.1238,
1971-05-31,,,,
1971-06-01,1.1243,2.4162,1.1231,
1971-06-02,1.1246,2.417,1.1234,
1971-06-03,1.1254,2.4188,1.1243,
1971-06-04,1.1255,2.419,1.1244,
1971-06-07,1.1256,2.4192,1.1245,
1971-06-08,1.1254,2.4188,1.1243,
1971-06-09,1.1257,2.4194,1.1246,
1971-06-10,1.1256,2.4193,1.1245,
1971-06-11,1.1257,2.4194,1.1246,
1971-06-14,1.1254,2.4186,1.1242,
1971-06-15,1.1254,2.4187,1.1242,
1971-06-16,1.1256,2.4193,1.1245,
1971-06-17,1.1255,2.4189,1.1243,
1971-06-18,1.1256,2.4191,1.1244,
1971-06-21,1.1256,2.4191,1.1244,
1971-06-22,1.1255,2.419,1.1244,
1971-06-23,1.1258,2.4195,1.1246,
1971-06-24,1.1256,2.4191,1.1244,
1971-06-25,1.1256,2.4191,1.1244,
1971-06-28,1.1253,2.4185,1.1242,
1971-06-29,1.1255,2.419,1.1244,
1971-06-30,1.1258,2.4196,1.1246,
1971-07-01,1.1255,2.419,1.1243,
1971-07-02,1.1255,2.419,1.1243,
1971-07-05,,,,
1971-07-06,1.1251,2.4181,1.124,
1971-07-07,1.1254,2.4187,1.1242,
1971-07-08,1.1259,2.4185,1.1242,
1971-07-09,1.1252,2.4183,1.1241,
1971-07-12,1.1252,2.4182,1.124,
1971-07-13,1.1251,2.418,1.1239,
1971-07-14,1.1254,2.4187,1.1242,
1971-07-15,1.1254,2.4187,1.1242,
1971-07-16,1.1255,2.4189,1.1243,
1971-07-19,1.1252,2.4183,1.124,
1971-07-20,1.1251,2.4182,1.124,
1971-07-21,1.1255,2.4191,1.1244,
