Date,FTSE 100,FTSE 250,FTSE 350
31/05/2019,"7,161.71","18,970.25","3,973.48"
30/05/2019,"7,218.16","19,111.51","4,004.52"
29/05/2019,"7,185.30","18,946.11","3,983.64"
28/05/2019,"7,268.95","19,204.93","4,031.31"
24/05/2019,"7,277.73","19,127.26","4,032.77"
23/05/2019,"7,231.04","19,031.21","4,007.79"
22/05/2019,"7,334.19","19,307.27","4,065.12"
21/05/2019,"7,328.92","19,436.36","4,067.03"
20/05/2019,"7,310.88","19,335.59","4,055.24"
17/05/2019,"7,348.62","19,498.61","4,078.31"
16/05/2019,"7,353.51","19,530.65","4,081.66"
15/05/2019,"7,296.95","19,369.77","4,049.91"
14/05/2019,"7,241.60","19,367.42","4,024.08"
13/05/2019,"7,163.68","19,126.88","3,979.69"
10/05/2019,"7,203.29","19,366.80","4,006.23"
09/05/2019,"7,207.41","19,285.58","4,005.41"
08/05/2019,"7,271.00","19,531.91","4,043.32"
07/05/2019,"7,260.47","19,465.69","4,036.18"
03/05/2019,"7,380.64","19,705.17","4,100.19"
02/05/2019,"7,351.31","19,686.66","4,085.91"
01/05/2019,"7,385.26","19,813.74","4,106.01"
30/04/2019,"7,418.22","19,824.81","4,121.72"
29/04/2019,"7,440.66","19,911.20","4,135.08"
26/04/2019,"7,428.19","19,856.87","4,127.44"
25/04/2019,"7,434.13","19,871.05","4,130.68"
24/04/2019,"7,471.75","19,993.67","4,152.33"
23/04/2019,"7,523.07","19,908.02","4,173.32"
18/04/2019,"7,459.88","19,835.93","4,141.48"
17/04/2019,"7,471.32","19,858.13","4,147.55"
16/04/2019,"7,469.92","19,923.38","4,149.10"
15/04/2019,"7,436.87","19,807.09","4,129.80"
12/04/2019,"7,437.06","19,711.71","4,126.66"
11/04/2019,"7,417.95","19,621.18","4,114.71"
10/04/2019,"7,421.91","19,484.84","4,111.94"
09/04/2019,"7,425.57","19,433.76","4,111.91"
08/04/2019,"7,451.89","19,517.21","4,126.98"
05/04/2019,"7,446.87","19,538.30","4,125.36"
04/04/2019,"7,401.94","19,507.33","4,103.41"
03/04/2019,"7,418.28","19,563.44","4,112.91"
02/04/2019,"7,391.12","19,329.27","4,092.35"
01/04/2019,"7,317.38","19,238.76","4,054.99"
29/03/2019,"7,279.19","19,117.49","4,033.12"
28/03/2019,"7,234.33","18,908.59","4,005.17"
27/03/2019,"7,194.19","18,893.74","3,986.01"
26/03/2019,"7,196.29","18,896.24","3,987.07"
25/03/2019,"7,177.58","18,799.56","3,975.09"
22/03/2019,"7,207.59","18,998.46","3,995.79"
21/03/2019,"7,355.31","19,347.58","4,076.32"
20/03/2019,"7,291.01","19,388.98","4,047.82"
19/03/2019,"7,324.00","19,551.29","4,068.67"
18/03/2019,"7,299.19","19,486.70","4,054.94"
15/03/2019,"7,228.28","19,491.03","4,022.12"
14/03/2019,"7,185.43","19,283.06","3,995.14"
13/03/2019,"7,159.19","19,180.09","3,979.45"
12/03/2019,"7,151.15","19,143.96","3,974.49"
11/03/2019,"7,130.62","19,093.06","3,963.22"
08/03/2019,"7,104.31","19,047.67","3,949.44"
07/03/2019,"7,157.55","19,183.82","3,978.81"
06/03/2019,"7,196.00","19,359.31","4,002.64"
05/03/2019,"7,183.43","19,443.14","3,999.63"
04/03/2019,"7,134.39","19,411.43","3,975.74"
01/03/2019,"7,106.73","19,399.65","3,962.47"
28/02/2019,"7,074.73","19,181.35","3,940.20"
27/02/2019,"7,107.20","19,153.75","3,954.37"
26/02/2019,"7,151.12","19,270.68","3,978.76"
25/02/2019,"7,183.74","19,246.98","3,993.14"
22/02/2019,"7,178.60","19,269.59","3,991.51"
21/02/2019,"7,167.39","19,236.88","3,985.19"
20/02/2019,"7,228.62","19,202.03","4,012.50"
19/02/2019,"7,179.17","19,068.89","3,984.99"
18/02/2019,"7,219.47","19,127.28","4,005.71"
15/02/2019,"7,236.68","18,987.23","4,008.98"
14/02/2019,"7,197.01","18,898.20","3,987.52"
13/02/2019,"7,190.84","18,972.62","3,987.17"
12/02/2019,"7,133.14","18,824.78","3,955.32"
11/02/2019,"7,129.11","18,831.78","3,953.68"
08/02/2019,"7,071.18","18,652.88","3,920.68"
07/02/2019,"7,093.58","18,799.26","3,936.05"
06/02/2019,"7,173.09","19,073.41","3,982.32"
05/02/2019,"7,177.37","18,996.02","3,981.69"
04/02/2019,"7,034.13","18,848.81","3,910.07"
01/02/2019,"7,020.22","18,811.37","3,902.33"
31/01/2019,"6,968.85","18,711.75","3,875.06"
30/01/2019,"6,941.63","18,827.97","3,866.33"
29/01/2019,"6,833.93","18,702.61","3,812.00"
28/01/2019,"6,747.10","18,534.68","3,765.93"
25/01/2019,"6,809.22","18,643.58","3,798.51"
24/01/2019,"6,818.95","18,627.63","3,802.49"
23/01/2019,"6,842.88","18,582.86","3,812.11"
22/01/2019,"6,901.39","18,681.59","3,842.66"
21/01/2019,"6,970.59","18,762.83","3,877.61"
18/01/2019,"6,968.33","18,764.47","3,876.61"
17/01/2019,"6,834.92","18,537.32","3,806.86"
16/01/2019,"6,862.68","18,486.73","3,818.06"
15/01/2019,"6,895.02","18,429.77","3,831.18"
14/01/2019,"6,855.02","18,417.58","3,812.16"
11/01/2019,"6,918.18","18,542.31","3,845.76"
10/01/2019,"6,942.87","18,435.62","3,853.64"
09/01/2019,"6,906.63","18,413.71","3,836.03"
08/01/2019,"6,861.60","18,175.79","3,807.03"
07/01/2019,"6,810.88","17,976.15","3,776.69"
04/01/2019,"6,837.42","17,795.88","3,782.94"
03/01/2019,"6,692.66","17,438.91","3,703.52"
02/01/2019,"6,734.23","17,586.70","3,727.86"
31/12/2018,"6,728.13","17,502.05","3,722.15"
28/12/2018,"6,733.97","17,465.05","3,723.62"
27/12/2018,"6,584.68","17,090.47","3,641.50"
24/12/2018,"6,685.99","17,312.18","3,696.12"
21/12/2018,"6,721.17","17,442.98","3,716.92"
20/12/2018,"6,711.93","17,446.94","3,712.75"
19/12/2018,"6,765.94","17,604.50","3,743.20"
18/12/2018,"6,701.59","17,495.04","3,709.55"
17/12/2018,"6,773.24","17,416.96","3,740.30"
14/12/2018,"6,845.17","17,666.91","3,782.20"
13/12/2018,"6,877.50","17,818.56","3,802.36"
12/12/2018,"6,880.19","17,988.97","3,809.34"
11/12/2018,"6,806.94","17,653.26","3,763.94"
10/12/2018,"6,721.54","17,492.31","3,718.75"
07/12/2018,"6,778.11","17,844.11","3,756.92"
06/12/2018,"6,704.05","17,753.31","3,719.37"
05/12/2018,"6,921.84","18,271.10","3,838.22"
04/12/2018,"7,022.76","18,329.64","3,887.20"
03/12/2018,"7,062.41","18,563.85","3,913.54"
30/11/2018,"6,980.24","18,480.83","3,872.47"
29/11/2018,"7,038.95","18,609.03","3,904.12"
28/11/2018,"7,004.52","18,639.73","3,889.11"
27/11/2018,"7,016.85","18,660.89","3,895.57"
26/11/2018,"7,036.00","18,719.12","3,906.44"
23/11/2018,"6,952.86","18,533.01","3,861.46"
22/11/2018,"6,960.32","18,530.00","3,864.84"
21/11/2018,"7,050.23","18,584.94","3,908.57"
20/11/2018,"6,947.92","18,366.36","3,853.57"
19/11/2018,"7,000.89","18,540.09","3,884.08"
16/11/2018,"7,013.88","18,589.09","3,891.77"
15/11/2018,"7,038.01","18,662.21","3,905.47"
14/11/2018,"7,033.79","18,910.14","3,911.83"
13/11/2018,"7,053.76","18,985.73","3,923.67"
12/11/2018,"7,053.08","18,811.58","3,917.51"
09/11/2018,"7,105.34","19,106.61","3,951.76"
08/11/2018,"7,140.68","19,257.08","3,973.28"
07/11/2018,"7,117.28","19,147.22","3,958.69"
06/11/2018,"7,040.68","19,043.65","3,919.52"
05/11/2018,"7,103.84","19,063.71","3,949.62"
02/11/2018,"7,094.12","19,325.73","3,953.90"
01/11/2018,"7,114.66","19,171.93","3,958.30"
31/10/2018,"7,128.10","18,917.68","3,955.96"
30/10/2018,"7,035.85","18,667.73","3,904.58"
29/10/2018,"7,026.32","18,566.82","3,896.74"
26/10/2018,"6,939.56","18,352.90","3,849.14"
25/10/2018,"7,004.10","18,531.53","3,885.21"
24/10/2018,"6,962.98","18,406.48","3,861.85"
23/10/2018,"6,955.21","18,352.12","3,856.40"
22/10/2018,"7,042.80","18,758.22","3,910.87"
19/10/2018,"7,049.80","18,795.75","3,915.40"
18/10/2018,"7,026.99","18,961.35","3,910.38"
17/10/2018,"7,054.60","19,013.97","3,925.01"
16/10/2018,"7,059.40","19,149.87","3,931.84"
15/10/2018,"7,029.22","18,803.45","3,906.09"
12/10/2018,"6,995.91","18,973.45","3,896.33"
11/10/2018,"7,006.93","18,827.75","3,896.54"
10/10/2018,"7,145.74","19,239.16","3,975.04"
09/10/2018,"7,237.59","19,549.60","4,028.27"
08/10/2018,"7,233.33","19,646.08","4,029.56"
05/10/2018,"7,318.54","19,918.03","4,078.40"
04/10/2018,"7,418.34","20,088.70","4,130.60"
03/10/2018,"7,510.28","20,300.00","4,180.51"
02/10/2018,"7,474.55","20,264.86","4,162.70"
01/10/2018,"7,495.67","20,401.21","4,177.14"
28/09/2018,"7,510.20","20,307.04","4,180.71"
27/09/2018,"7,545.44","20,374.21","4,199.38"
26/09/2018,"7,511.49","20,436.48","4,185.70"
25/09/2018,"7,507.56","20,461.06","4,184.70"
24/09/2018,"7,458.41","20,488.07","4,162.76"
21/09/2018,"7,490.23","20,590.36","4,181.03"
20/09/2018,"7,367.32","20,551.26","4,122.49"
19/09/2018,"7,331.12","20,500.45","4,103.92"
18/09/2018,"7,300.23","20,458.27","4,088.12"
17/09/2018,"7,302.10","20,374.39","4,086.16"
14/09/2018,"7,304.04","20,375.87","4,087.12"
13/09/2018,"7,281.57","20,243.61","4,072.20"
12/09/2018,"7,313.36","20,380.53","4,091.61"
11/09/2018,"7,273.54","20,226.42","4,067.88"
10/09/2018,"7,279.30","20,259.83","4,071.69"
07/09/2018,"7,277.70","20,209.61","4,069.25"
06/09/2018,"7,318.96","20,283.49","4,090.94"
05/09/2018,"7,383.28","20,388.47","4,124.41"
04/09/2018,"7,457.86","20,548.61","4,164.52"
03/09/2018,"7,504.60","20,695.85","4,191.24"
31/08/2018,"7,432.42","20,689.00","4,157.45"
30/08/2018,"7,516.03","20,691.75","4,196.42"
29/08/2018,"7,563.21","20,736.88","4,219.89"
28/08/2018,"7,617.22","20,849.24","4,248.82"
24/08/2018,"7,577.49","20,691.41","4,224.99"
23/08/2018,"7,563.22","20,665.47","4,217.47"
22/08/2018,"7,574.24","20,642.50","4,221.82"
21/08/2018,"7,565.70","20,642.86","4,217.86"
20/08/2018,"7,591.26","20,531.15","4,225.96"
17/08/2018,"7,558.59","20,444.36","4,207.82"
16/08/2018,"7,556.38","20,462.26","4,207.40"
15/08/2018,"7,497.87","20,320.35","4,175.39"
14/08/2018,"7,611.64","20,509.76","4,234.71"
13/08/2018,"7,642.45","20,575.11","4,251.25"
10/08/2018,"7,667.01","20,667.45","4,265.80"
09/08/2018,"7,741.77","20,806.21","4,305.27"
08/08/2018,"7,776.65","20,770.64","4,320.28"
07/08/2018,"7,718.48","20,675.64","4,290.02"
06/08/2018,"7,663.78","20,639.38","4,263.35"
03/08/2018,"7,659.10","20,635.33","4,261.04"
02/08/2018,"7,575.93","20,548.97","4,219.45"
01/08/2018,"7,652.91","20,801.47","4,263.81"
31/07/2018,"7,748.76","20,877.87","4,310.96"
30/07/2018,"7,700.85","20,878.25","4,288.70"
27/07/2018,"7,701.31","20,868.94","4,288.60"
26/07/2018,"7,663.17","20,768.61","4,267.46"
25/07/2018,"7,658.26","20,753.60","4,264.67"
24/07/2018,"7,709.05","20,852.87","4,291.65"
23/07/2018,"7,655.79","20,770.38","4,264.09"
20/07/2018,"7,678.79","20,925.68","4,280.05"
19/07/2018,"7,683.97","20,907.16","4,281.83"
18/07/2018,"7,676.28","20,984.20","4,280.87"
17/07/2018,"7,626.33","20,871.27","4,253.82"
16/07/2018,"7,600.45","20,800.55","4,239.39"
13/07/2018,"7,661.87","20,813.12","4,268.37"
12/07/2018,"7,651.33","20,779.77","4,262.33"
11/07/2018,"7,591.96","20,642.27","4,230.07"
10/07/2018,"7,692.04","20,851.56","4,283.70"
09/07/2018,"7,687.99","20,821.16","4,280.78"
06/07/2018,"7,617.70","20,618.34","4,241.22"
05/07/2018,"7,603.22","20,621.09","4,234.58"
04/07/2018,"7,573.09","20,652.51","4,221.65"
03/07/2018,"7,593.29","20,665.22","4,231.47"
02/07/2018,"7,547.85","20,605.86","4,208.33"
